Episode	EpLen	EpRet	CaptureRate	Collisions	CollisionsWithObstacles	QLoss	PLoss	HaveLoss	Time(s)
0	0	-1.0000000000001226	0.48	0	5	nan	nan	False	5.241
1	500	-16.499999999999872	0.28	0	5	nan	nan	False	4.166
2	500	-12.750000000000142	0.34	0	7	nan	nan	False	4.304
3	500	-14.000000000000203	0.32	0	7	nan	nan	False	4.291
4	500	-15.00000000000013	0.16	0	7	nan	nan	False	4.301
5	500	-21.24999999999998	0.54	0	5	nan	nan	False	3.865
6	500	-18.750000000000142	0.1	0	7	nan	nan	False	4.416
7	500	-26.499999999999954	0.36	0	6	nan	nan	False	4.003
8	500	-13.000000000000032	0.24	0	6	nan	nan	False	4.304
9	500	-10.500000000000124	0.28	0	5	nan	nan	False	4.188
10	500	-37.74999999999983	0.18	0	7	nan	nan	False	4.411
11	500	-22.499999999999666	0.28	0	6	nan	nan	False	4.197
12	500	-19.249999999999858	0.38	0	6	nan	nan	False	3.916
13	500	-9.25000000000013	0.3	0	5	nan	nan	False	4.156
14	500	-1364.7500000000111	0.26	1	7	nan	nan	False	4.269
15	500	-19.99999999999988	0.32	0	6	nan	nan	False	4.136
16	500	-6.25000000000013	0.3	0	6	nan	nan	False	4.198
17	500	-7.249999999999991	0.38	0	7	nan	nan	False	4.003
18	500	-24.00000000000007	0.4	0	4	nan	nan	False	3.951
19	500	-17.50000000000013	0.12	0	8	nan	nan	False	4.231
20	500	-24.99999999999992	0.48	0	5	nan	nan	False	3.886
21	500	-27.750000000000075	0.34	0	5	nan	nan	False	4.058
22	500	-1.2500000000001652	0.38	0	7	nan	nan	False	4.079
23	500	-3.5000000000000453	0.44	0	4	nan	nan	False	4.202
24	500	-290.99999999999955	0.4	1	6	nan	nan	False	4.121
25	500	-13.250000000000023	0.38	0	6	nan	nan	False	4.177
26	500	-6.249999999999988	0.3	0	5	nan	nan	False	4.303
27	500	-52.50000000000069	0.28	0	8	nan	nan	False	4.269
28	500	-19.000000000000192	0.24	0	7	nan	nan	False	4.221
29	500	-18.74999999999995	0.34	0	7	nan	nan	False	4.094
30	500	-9.250000000000117	0.3	0	6	nan	nan	False	4.187
31	500	-14.750000000000092	0.26	0	7	nan	nan	False	4.131
32	500	-379.49999999999926	0.28	1	7	nan	nan	False	4.193
33	500	-2.5000000000001474	0.36	0	7	nan	nan	False	4.023
34	500	-7.250000000000118	0.38	0	5	nan	nan	False	3.999
35	500	-16.00000000000007	0.24	0	6	nan	nan	False	4.173
36	500	-11.500000000000156	0.36	0	6	nan	nan	False	4.076
37	500	-22.500000000000064	0.28	0	6	nan	nan	False	4.291
38	500	-11.7500000000001	0.26	0	7	nan	nan	False	4.229
39	500	-1373.7500000000116	0.26	1	7	nan	nan	False	4.112
40	500	-13.99999999999979	0.32	0	3	nan	nan	False	4.249
41	500	-1232.7500000000095	0.26	1	6	nan	nan	False	4.141
42	500	-20.499999999999766	0.36	0	6	nan	nan	False	4.172
43	500	-31.99999999999958	0.32	0	7	nan	nan	False	4.139
44	500	-13.500000000000163	0.28	0	6	nan	nan	False	4.418
45	500	-3.0000000000001688	0.4	0	5	nan	nan	False	4.085
46	500	-25.499999999999886	0.28	0	7	nan	nan	False	4.271
47	500	-20.499999999999904	0.36	0	5	nan	nan	False	4.135
48	500	-25.999999999999844	0.32	0	7	nan	nan	False	4.113
49	500	-20.750000000000014	0.26	0	6	nan	nan	False	4.27
50	500	-19.00000000000012	0.24	0	5	nan	nan	False	4.172
51	500	-3.750000000000152	0.34	0	6	nan	nan	False	4.231
52	500	-9.750000000000108	0.34	0	5	nan	nan	False	4.504
53	500	-7.500000000000141	0.28	0	6	nan	nan	False	4.248
54	500	-6.000000000000046	0.4	0	5	nan	nan	False	3.968
55	500	-7.500000000000114	0.28	0	7	nan	nan	False	4.21
56	500	-14.250000000000112	0.22	0	6	nan	nan	False	4.292
57	500	-8.00000000000005	0.32	0	7	nan	nan	False	4.85
58	500	-18.74999999999986	0.34	0	6	nan	nan	False	4.132
59	500	-8.750000000000053	0.5	0	4	nan	nan	False	4.427
60	500	-18.500000000000053	0.2	0	7	nan	nan	False	4.396
61	500	-5.500000000000137	0.36	0	7	nan	nan	False	4.033
62	500	-16.999999999999744	0.32	0	8	nan	nan	False	4.048
63	500	-16.250000000000036	0.38	0	6	nan	nan	False	4.137
64	500	-11.750000000000158	0.26	0	6	nan	nan	False	4.197
65	500	-22.250000000000178	0.14	0	8	nan	nan	False	4.227
66	500	-11.750000000000133	0.26	0	8	nan	nan	False	4.091
67	500	-16.99999999999983	0.32	0	6	nan	nan	False	4.139
68	500	-1333.000000000011	0.24	1	8	nan	nan	False	4.785
69	500	0.7499999999999512	0.46	0	5	nan	nan	False	4.297
70	500	-1405.2500000000118	0.38	1	7	nan	nan	False	4.267
71	500	-7.4999999999999805	0.28	0	7	nan	nan	False	4.747
72	500	-757.5000000000018	0.28	1	6	nan	nan	False	4.832
73	500	-7.5000000000001315	0.28	0	6	nan	nan	False	4.16
74	500	-8.999999999999815	0.4	0	6	nan	nan	False	3.993
75	500	-10.000000000000172	0.24	0	7	nan	nan	False	4.297
76	500	-7.500000000000131	0.28	0	6	nan	nan	False	4.084
77	500	3.749999999999865	0.46	0	5	nan	nan	False	3.979
78	500	-9.250000000000142	0.3	0	5	nan	nan	False	4.23
79	500	-7.250000000000192	0.38	0	5	nan	nan	False	4.007
80	500	-15.500000000000144	0.2	0	7	nan	nan	False	4.29
81	500	-10.000000000000183	0.24	0	7	nan	nan	False	4.355
82	500	-5.000000000000094	0.32	0	6	nan	nan	False	4.129
83	500	-26.999999999999794	0.4	0	4	nan	nan	False	4.066
84	500	-63.75000000000084	0.34	0	7	nan	nan	False	4.053
85	500	-25.499999999999794	0.28	0	7	nan	nan	False	4.194
86	500	-814.7500000000032	0.18	1	6	nan	nan	False	4.282
87	500	-5.000000000000127	0.32	0	7	nan	nan	False	4.21
88	500	-14.250000000000165	0.22	0	5	nan	nan	False	4.232
89	500	-25.000000000000053	0.24	0	8	nan	nan	False	4.758
90	500	-12.250000000000183	0.3	0	7	nan	nan	False	5.034
91	500	-16.25000000000015	0.14	0	7	nan	nan	False	4.495
92	500	-6.250000000000109	0.3	0	8	nan	nan	False	4.841
93	500	-3.7500000000001625	0.34	0	7	nan	nan	False	4.986
94	500	-1.7500000000001443	0.42	0	6	nan	nan	False	4.887
