Epoch	MAEnvIterations	TotalEnvInteracts	EpLen	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageCaptureRate	StdCaptureRate	MaxCaptureRate	MinCaptureRate	AverageCollisions	StdCollisions	MaxCollisions	MinCollisions	AverageCollideObstacles	StdCollideObstacles	MaxCollideObstacles	MinCollideObstacles	AverageVVals	StdVVals	MaxVVals	MinVVals	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time	Processes	Agents
0	500	4000	500.0	-30.116667	17.243153	-13.45	-65.2	0.25333333	0.03944053	0.32	0.2	7.1666665	5.8142548	19.0	2.0	5.8333335	1.2133516	7.0	4.0	-0.02555425	0.011019724	0.02554111	-0.073493965	0.00040762126	200.93909	0.0	-85.00562	1.6087362	1.478692e-08	10.380701065063477	6	8
1	1000	8000	500.0	-177.65834	353.8067	-8.7	-968.2	0.31666666	0.100940034	0.46	0.14	57.833332	119.6236	325.0	0.0	6.3333335	1.2472191	8.0	4.0	-5.901877	4.570852	0.38595748	-32.078274	0.00042818984	26974.568	0.0	-12569.938	1.6086422	3.6358834e-09	21.4604971408844	6	8
2	1500	12000	500.0	-121.450005	201.19792	-2.2	-556.45	0.32	0.07393692	0.46	0.24	39.166668	66.916405	184.0	0.0	6.8333335	1.0671873	8.0	5.0	-39.373886	82.46857	0.04221181	-358.25034	-0.0002644857	17867.396	0.0	-9466.497	1.6086864	-6.973744e-09	31.973692655563354	6	8
3	2000	16000	500.0	-303.90836	404.6896	-13.45	-951.2	0.25666666	0.05088112	0.32	0.18	98.666664	136.12698	316.0	2.0	6.1666665	1.0671873	8.0	5.0	-40.15702	58.41377	-0.6589839	-255.53314	-0.0002646645	42962.934	0.0	-20905.287	1.6085457	-4.256765e-09	42.5651912689209	6	8
4	2500	20000	500.0	-9.325001	8.589905	1.3	-21.7	0.29	0.10692677	0.42	0.1	0.8333333	0.8975275	2.0	0.0	6.3333335	1.1055416	8.0	5.0	-92.48897	126.855545	5.8228374	-440.68637	-0.0016688779	15849.247	0.0	-14300.028	1.6081599	3.9339065e-09	53.30964732170105	6	8
5	3000	24000	500.0	-91.78335	130.30347	-7.45	-357.2	0.30666667	0.06896053	0.42	0.2	29.0	43.39739	118.0	0.0	6.1666665	1.3437096	8.0	4.0	-16.420637	25.789858	10.783542	-143.40323	-0.001338467	6564.168	0.0	-2208.7205	1.6079798	1.7782051e-09	64.05317878723145	6	8
6	3500	28000	500.0	-13.283334	6.232754	-4.2	-19.2	0.3033333	0.061553948	0.38	0.22	2.5	1.8929694	6.0	0.0	6.1666665	0.6871842	7.0	5.0	-21.241262	34.37244	19.039993	-181.48903	-0.0019739892	997.4959	0.0	-865.8005	1.6074053	6.3180927e-09	75.0603973865509	6	8
7	4000	32000	500.0	-9.45	7.3866434	3.8	-16.95	0.32000002	0.107703306	0.46	0.16	1.5	1.8027756	4.0	0.0	6.5	1.2583058	8.0	5.0	-6.1578383	9.9898815	19.772131	-116.113205	-0.0016596789	97.55869	0.0	-65.5201	1.607041	1.8974147e-09	86.05034351348877	6	8
8	4500	36000	500.0	-27.283333	27.485094	-2.2	-84.2	0.34666666	0.06182413	0.46	0.26	8.166667	8.74484	27.0	2.0	6.5	1.2583058	8.0	5.0	-4.205219	7.2068377	18.19663	-109.11093	-0.0016469583	450.62552	0.0	-123.073265	1.6056271	-4.6590967e-09	96.63009858131409	6	8
9	5000	40000	500.0	-20.033335	9.321422	-6.95	-32.45	0.32666668	0.0942809	0.48	0.2	5.1666665	2.67187	10.0	2.0	5.6666665	0.942809	7.0	4.0	-5.549569	8.747254	34.043167	-115.945435	0.0003562669	88.92014	0.0	-47.03484	1.60608	1.5646219e-09	107.30248093605042	6	8
10	5500	44000	500.0	-334.99167	494.91913	-12.45	-1402.7	0.3033333	0.11100551	0.44	0.16	110.166664	164.19646	464.0	1.0	6.3333335	1.699673	8.0	3.0	-4.554377	5.4740753	18.104204	-99.9517	0.00038746992	47894.08	0.0	-20171.334	1.6044106	5.4438907e-09	118.05943417549133	6	8
11	6000	48000	500.0	-6.3666663	5.116694	2.55	-12.45	0.31333336	0.0869227	0.44	0.2	0.33333334	0.745356	2.0	0.0	6.0	0.8164966	7.0	5.0	-37.507286	67.37977	98.96022	-293.3004	0.0014822632	3602.1777	0.0	-3235.5908	1.6044884	1.4702478e-09	129.10535168647766	6	8
12	6500	52000	500.0	-113.53335	205.71216	-4.95	-572.7	0.28666666	0.07630349	0.38	0.14	35.666668	68.723274	189.0	0.0	6.6666665	1.1055416	8.0	5.0	-15.818496	28.045721	105.415985	-155.96358	-0.00031466037	11754.63	0.0	-4255.4395	1.6041074	6.3329932e-09	140.0235300064087	6	8
13	7000	56000	500.0	-11.325	11.967621	0.05	-32.2	0.37	0.12583056	0.58	0.22	3.1666667	3.3870668	8.0	0.0	6.0	1.2909944	8.0	4.0	-17.04089	41.75462	179.38216	-251.008	0.0011792071	1283.8607	0.0	-1134.1304	1.6038371	2.3593507e-09	150.86796307563782	6	8
14	7500	60000	500.0	-8.366668	8.947377	3.55	-21.2	0.39333335	0.12364825	0.6	0.2	2.6666667	1.8856181	5.0	0.0	5.5	1.2583058	8.0	4.0	-7.903791	15.78688	84.0246	-160.95905	-0.0015726486	209.0887	0.0	-169.85735	1.6029505	-5.6227045e-09	161.5695765018463	6	8
15	8000	64000	500.0	-13.325001	7.570158	-4.95	-28.95	0.29	0.044347115	0.34	0.22	2.1666667	2.7938423	8.0	0.0	6.1666665	0.89752746	7.0	5.0	-4.544433	14.2841625	68.06832	-107.598755	0.0003069242	173.57033	0.0	-143.02483	1.6027967	4.2219956e-09	172.47049641609192	6	8
16	8500	68000	500.0	-342.53333	731.8573	-6.7	-1978.95	0.32666668	0.09568467	0.5	0.2	62.333332	131.35278	356.0	0.0	7.0	0.57735026	8.0	6.0	-6.387897	35.850845	52.830666	-245.3536	-2.7020772e-06	62072.52	0.0	-42052.215	1.604096	-1.5790263e-08	183.4926097393036	6	8
17	9000	72000	500.0	-29.741669	18.075891	-4.95	-55.2	0.32333335	0.08439326	0.44	0.18	8.333333	7.2724743	18.0	0.0	4.8333335	1.5723301	7.0	3.0	-70.75588	117.49777	395.60535	-782.99304	-0.0013173968	12414.863	0.0	-11461.918	1.6027793	-4.7187014e-09	194.3809952735901	6	8
18	9500	76000	500.0	-19.199999	35.646706	3.3	-97.2	0.42	0.0663325	0.5	0.32	6.8333335	11.509658	32.0	0.0	5.0	1.1547005	6.0	3.0	-15.043558	59.674774	236.52924	-285.66702	0.00087780255	2638.4197	0.0	-2372.2917	1.6037961	5.8909264e-09	205.21980667114258	6	8
19	10000	80000	500.0	-22.699999	24.533566	0.3	-75.7	0.34	0.08563489	0.5	0.24	6.3333335	7.9721737	24.0	2.0	5.3333335	0.47140452	6.0	5.0	-0.068103515	42.4932	223.47615	-583.91925	-0.00057186186	1577.6686	0.0	-1459.171	1.6024595	-4.8130744e-09	216.21678566932678	6	8
