Episode	EpLen	CaptureRate	Collisions	Time(s)
0	181	1.0	0	35.554296016693115
1	228	1.0	0	42.541454792022705
2	500	0.96875	0	68.1110851764679
3	500	0.9375	0	80.2791678905487
4	340	1.0	0	57.572447061538696
5	273	1.0	0	46.00233602523804
6	295	1.0	0	46.21880078315735
7	256	1.0	0	48.13865661621094
8	500	0.96875	0	73.89916014671326
9	500	0.96875	0	73.82134294509888
10	224	1.0	0	35.89145278930664
11	500	0.9375	0	78.65658068656921
12	500	0.9375	0	76.3451578617096
13	192	1.0	0	39.049768924713135
14	140	1.0	0	26.95089101791382
15	220	1.0	0	37.36942672729492
16	259	1.0	0	45.80534505844116
17	500	0.96875	0	72.17387199401855
18	151	1.0	0	30.45204496383667
19	165	1.0	0	30.515628814697266
20	255	1.0	0	43.59421491622925
21	179	1.0	0	33.539644956588745
22	247	1.0	0	45.680195808410645
23	164	1.0	0	28.527981281280518
24	240	1.0	0	39.018298864364624
25	236	1.0	0	39.79836320877075
26	465	1.0	0	70.20359301567078
27	142	1.0	0	26.38459300994873
28	139	1.0	0	29.39907193183899
29	475	1.0	0	71.4001350402832
30	500	0.96875	0	72.72384905815125
31	267	1.0	0	44.16619300842285
32	130	1.0	0	26.787485122680664
33	147	1.0	0	27.151673078536987
34	500	0.96875	0	77.9554488658905
35	200	1.0	0	35.1967339515686
36	285	1.0	0	56.71116304397583
37	218	1.0	0	42.822800159454346
38	228	1.0	0	45.01421403884888
39	477	1.0	0	71.93236708641052
40	500	0.96875	0	71.69029927253723
41	500	0.9375	0	84.8358108997345
42	196	1.0	0	37.87711477279663
43	500	0.96875	0	77.8236927986145
44	500	0.96875	0	72.53467416763306
45	256	1.0	0	40.55170011520386
46	500	0.9375	0	69.1254210472107
47	479	1.0	0	63.33049011230469
48	142	1.0	0	27.925944089889526
49	147	1.0	0	28.487905979156494
50	397	1.0	0	56.178592920303345
51	153	1.0	0	29.513487815856934
52	347	1.0	0	52.30991578102112
53	273	1.0	0	42.43442702293396
54	500	0.96875	0	69.94055414199829
55	500	0.96875	0	76.25835180282593
56	500	0.96875	0	68.4818959236145
57	169	1.0	0	37.0846209526062
58	370	1.0	0	60.4864559173584
59	200	1.0	0	40.00736999511719
60	500	0.96875	0	83.0050950050354
61	163	1.0	0	37.11241698265076
62	246	1.0	0	42.91437816619873
63	500	0.96875	0	73.55799603462219
64	500	0.96875	0	77.43507289886475
65	210	1.0	0	53.798072814941406
66	167	1.0	0	43.48992991447449
67	289	1.0	0	48.63359808921814
68	269	1.0	0	46.057913303375244
69	500	0.9375	0	78.65878224372864
70	500	0.90625	0	78.84289622306824
71	180	1.0	0	35.334810972213745
72	153	1.0	0	36.82856512069702
73	500	0.96875	0	80.98402905464172
74	218	1.0	0	40.40451693534851
75	500	0.96875	0	79.58466911315918
76	201	1.0	0	35.043933153152466
77	190	1.0	0	37.66339302062988
78	260	1.0	0	46.01078200340271
79	284	1.0	0	48.661898136138916
80	141	1.0	0	28.18621587753296
81	197	1.0	0	40.03335523605347
82	500	0.96875	0	73.35624599456787
83	500	0.96875	0	81.0865569114685
84	240	1.0	0	43.12507510185242
85	228	1.0	0	43.41744017601013
86	500	0.96875	0	70.02874708175659
87	259	1.0	0	46.606125831604004
88	249	1.0	0	46.69211387634277
89	221	1.0	0	43.82850098609924
90	270	1.0	0	52.56984496116638
91	268	1.0	0	55.708770990371704
92	487	1.0	0	77.12995219230652
93	176	1.0	0	36.07038998603821
94	308	1.0	0	53.090999126434326
95	475	1.0	0	68.41263604164124
96	148	1.0	0	36.80490303039551
97	303	1.0	0	59.9853310585022
98	198	1.0	0	41.117798805236816
99	270	1.0	0	48.5312922000885
