/Users/lijunsun/anaconda3/envs/myenv37/bin/python /Users/lijunsun/Workspace/multiple_preys_pursuit_pomg/test_sop_statistical_results.py
Command: python run_sop.py  --x_size=40 --y_size=40 --n_pursuers=256 --n_targets=64 --n_episodes=100
Seed  59 	 Episode  59 	 EpLen 276 	 CaptureRate 1.000 	 Collisions 0 Time 148.679
Seed  60 	 Episode  60 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 254.157
Seed  61 	 Episode  61 	 EpLen 234 	 CaptureRate 1.000 	 Collisions 0 Time 121.984
Seed  62 	 Episode  62 	 EpLen 65 	 CaptureRate 1.000 	 Collisions 0 Time 42.200
Seed  63 	 Episode  63 	 EpLen 61 	 CaptureRate 1.000 	 Collisions 0 Time 40.787
Seed  64 	 Episode  64 	 EpLen 64 	 CaptureRate 1.000 	 Collisions 0 Time 42.412
Seed  65 	 Episode  65 	 EpLen 37 	 CaptureRate 1.000 	 Collisions 0 Time 30.599
Seed  66 	 Episode  66 	 EpLen 43 	 CaptureRate 1.000 	 Collisions 0 Time 33.149
Seed  67 	 Episode  67 	 EpLen 65 	 CaptureRate 1.000 	 Collisions 0 Time 41.762
Seed  68 	 Episode  68 	 EpLen 58 	 CaptureRate 1.000 	 Collisions 0 Time 47.314
Seed  69 	 Episode  69 	 EpLen 49 	 CaptureRate 1.000 	 Collisions 0 Time 37.217
Seed  70 	 Episode  70 	 EpLen 39 	 CaptureRate 1.000 	 Collisions 0 Time 31.205
Seed  71 	 Episode  71 	 EpLen 69 	 CaptureRate 1.000 	 Collisions 0 Time 47.891
Seed  72 	 Episode  72 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 285.281
Seed  73 	 Episode  73 	 EpLen 72 	 CaptureRate 1.000 	 Collisions 0 Time 49.481
Seed  74 	 Episode  74 	 EpLen 61 	 CaptureRate 1.000 	 Collisions 0 Time 42.166
Seed  75 	 Episode  75 	 EpLen 69 	 CaptureRate 1.000 	 Collisions 0 Time 45.049
Seed  76 	 Episode  76 	 EpLen 45 	 CaptureRate 1.000 	 Collisions 0 Time 33.262
Seed  77 	 Episode  77 	 EpLen 78 	 CaptureRate 1.000 	 Collisions 0 Time 55.109
Seed  78 	 Episode  78 	 EpLen 91 	 CaptureRate 1.000 	 Collisions 0 Time 59.003
Seed  79 	 Episode  79 	 EpLen 73 	 CaptureRate 1.000 	 Collisions 0 Time 50.136
Seed  80 	 Episode  80 	 EpLen 68 	 CaptureRate 1.000 	 Collisions 0 Time 51.858
Seed  81 	 Episode  81 	 EpLen 55 	 CaptureRate 1.000 	 Collisions 0 Time 41.162
Seed  82 	 Episode  82 	 EpLen 30 	 CaptureRate 1.000 	 Collisions 0 Time 25.827
Seed  83 	 Episode  83 	 EpLen 101 	 CaptureRate 1.000 	 Collisions 0 Time 64.419
Seed  84 	 Episode  84 	 EpLen 184 	 CaptureRate 1.000 	 Collisions 0 Time 107.153
Seed  85 	 Episode  85 	 EpLen 267 	 CaptureRate 1.000 	 Collisions 0 Time 146.924
Seed  86 	 Episode  86 	 EpLen 34 	 CaptureRate 1.000 	 Collisions 0 Time 29.253
Seed  87 	 Episode  87 	 EpLen 65 	 CaptureRate 1.000 	 Collisions 0 Time 44.251
Seed  88 	 Episode  88 	 EpLen 278 	 CaptureRate 1.000 	 Collisions 0 Time 147.717
Seed  89 	 Episode  89 	 EpLen 45 	 CaptureRate 1.000 	 Collisions 0 Time 36.490
Seed  90 	 Episode  90 	 EpLen 89 	 CaptureRate 1.000 	 Collisions 0 Time 73.615
Seed  91 	 Episode  91 	 EpLen 52 	 CaptureRate 1.000 	 Collisions 0 Time 43.246
Seed  92 	 Episode  92 	 EpLen 35 	 CaptureRate 1.000 	 Collisions 0 Time 32.423
Seed  93 	 Episode  93 	 EpLen 153 	 CaptureRate 1.000 	 Collisions 0 Time 92.087
Seed  94 	 Episode  94 	 EpLen 37 	 CaptureRate 1.000 	 Collisions 0 Time 30.756
Seed  95 	 Episode  95 	 EpLen 62 	 CaptureRate 1.000 	 Collisions 0 Time 44.653
Seed  96 	 Episode  96 	 EpLen 49 	 CaptureRate 1.000 	 Collisions 0 Time 35.365
Seed  97 	 Episode  97 	 EpLen 46 	 CaptureRate 1.000 	 Collisions 0 Time 38.048
Seed  98 	 Episode  98 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 243.097
Seed  99 	 Episode  99 	 EpLen 57 	 CaptureRate 1.000 	 Collisions 0 Time 44.003
Write to file: data/sop_40_40_256_64_.txt
Write to file: data/sop_40_40_256_64_statistical_result.txt
Command: python run_sop.py  --x_size=40 --y_size=40 --n_pursuers=512 --n_targets=128 --n_episodes=100
Seed   0 	 Episode   0 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 863.568
Seed   1 	 Episode   1 	 EpLen 27 	 CaptureRate 1.000 	 Collisions 0 Time 67.829
Seed   2 	 Episode   2 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 892.467
Seed   3 	 Episode   3 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 859.106
Seed   4 	 Episode   4 	 EpLen 39 	 CaptureRate 1.000 	 Collisions 0 Time 85.870
Seed   5 	 Episode   5 	 EpLen 22 	 CaptureRate 1.000 	 Collisions 0 Time 63.312
Seed   6 	 Episode   6 	 EpLen 41 	 CaptureRate 1.000 	 Collisions 0 Time 102.628
Seed   7 	 Episode   7 	 EpLen 96 	 CaptureRate 1.000 	 Collisions 0 Time 192.581
Seed   8 	 Episode   8 	 EpLen 32 	 CaptureRate 1.000 	 Collisions 0 Time 81.801
Seed   9 	 Episode   9 	 EpLen 80 	 CaptureRate 1.000 	 Collisions 0 Time 191.119
Seed  10 	 Episode  10 	 EpLen 44 	 CaptureRate 1.000 	 Collisions 0 Time 100.726
Seed  11 	 Episode  11 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 920.156
Seed  12 	 Episode  12 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 925.747
Seed  13 	 Episode  13 	 EpLen 31 	 CaptureRate 1.000 	 Collisions 0 Time 86.662
Seed  14 	 Episode  14 	 EpLen 90 	 CaptureRate 1.000 	 Collisions 0 Time 191.576
Seed  15 	 Episode  15 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 937.707
Seed  16 	 Episode  16 	 EpLen 80 	 CaptureRate 1.000 	 Collisions 0 Time 152.034
Seed  17 	 Episode  17 	 EpLen 188 	 CaptureRate 1.000 	 Collisions 0 Time 337.884
Seed  18 	 Episode  18 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 855.294
Seed  19 	 Episode  19 	 EpLen 25 	 CaptureRate 1.000 	 Collisions 0 Time 67.375
Seed  20 	 Episode  20 	 EpLen 138 	 CaptureRate 1.000 	 Collisions 0 Time 262.301
Seed  21 	 Episode  21 	 EpLen 70 	 CaptureRate 1.000 	 Collisions 0 Time 135.065
Seed  22 	 Episode  22 	 EpLen 270 	 CaptureRate 1.000 	 Collisions 0 Time 471.774
Seed  23 	 Episode  23 	 EpLen 52 	 CaptureRate 1.000 	 Collisions 0 Time 108.275
Seed  24 	 Episode  24 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 904.409
Seed  25 	 Episode  25 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 841.989
Seed  26 	 Episode  26 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 793.641
Seed  27 	 Episode  27 	 EpLen 82 	 CaptureRate 1.000 	 Collisions 0 Time 151.961
Seed  28 	 Episode  28 	 EpLen 100 	 CaptureRate 1.000 	 Collisions 0 Time 177.068
Seed  29 	 Episode  29 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 815.538
Seed  30 	 Episode  30 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 833.339
Seed  31 	 Episode  31 	 EpLen 31 	 CaptureRate 1.000 	 Collisions 0 Time 88.640
Seed  32 	 Episode  32 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 965.214
Seed  33 	 Episode  33 	 EpLen 38 	 CaptureRate 1.000 	 Collisions 0 Time 90.402
Seed  34 	 Episode  34 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 948.279
Seed  35 	 Episode  35 	 EpLen 38 	 CaptureRate 1.000 	 Collisions 0 Time 92.880
Seed  36 	 Episode  36 	 EpLen 500 	 CaptureRate 0.969 	 Collisions 0 Time 960.640
Seed  37 	 Episode  37 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 868.169
Seed  38 	 Episode  38 	 EpLen 122 	 CaptureRate 1.000 	 Collisions 0 Time 211.480
Seed  39 	 Episode  39 	 EpLen 43 	 CaptureRate 1.000 	 Collisions 0 Time 92.930
Seed  40 	 Episode  40 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 828.918
Seed  41 	 Episode  41 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 858.680
Seed  42 	 Episode  42 	 EpLen 55 	 CaptureRate 1.000 	 Collisions 0 Time 118.251
Seed  43 	 Episode  43 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 893.160
Seed  44 	 Episode  44 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 810.665
Seed  45 	 Episode  45 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 836.698
Seed  46 	 Episode  46 	 EpLen 62 	 CaptureRate 1.000 	 Collisions 0 Time 119.486
Seed  47 	 Episode  47 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 852.324
Seed  48 	 Episode  48 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 753.805
