Episode	EpLen	CaptureRate	Collisions	Time(s)
0	500	0.25	47	1.5246460437774658
1	500	0.25	6	1.5719079971313477
2	500	0.5	41	1.4863207340240479
3	500	0.5	12	1.540402889251709
4	500	0.25	35	1.489306926727295
5	500	0.75	5	1.5831928253173828
6	500	0.5	2	1.534562110900879
7	500	0.75	136	1.4723482131958008
8	500	0.25	5	1.5432369709014893
9	500	0.25	46	1.5086569786071777
10	500	0.5	1	1.4801971912384033
11	500	0.25	12	1.5333938598632812
12	500	0.75	11	1.473768949508667
13	500	0.5	10	1.5520100593566895
14	500	0.25	12	1.5303401947021484
15	500	0.5	25	1.5072510242462158
16	500	0.5	11	1.5030770301818848
17	500	0.75	47	1.4742720127105713
18	500	0.5	36	1.5938100814819336
19	500	0.75	48	1.817042350769043
20	500	0.0	5	1.7974069118499756
21	500	0.75	31	1.7361061573028564
22	500	0.25	3	1.6014950275421143
23	500	0.75	48	1.7533268928527832
24	500	0.25	37	1.6524388790130615
25	500	0.0	1	1.7509799003601074
26	500	0.5	65	1.5570311546325684
27	500	0.75	37	1.5457170009613037
28	500	0.75	53	1.5541191101074219
29	500	0.5	11	1.7209289073944092
30	500	0.5	96	1.7048039436340332
31	500	0.25	15	1.6464731693267822
32	500	0.25	1	2.714069128036499
33	500	0.75	79	1.692742109298706
34	500	0.25	33	1.876554012298584
35	500	0.75	25	1.5246350765228271
36	500	0.5	31	1.6481311321258545
37	500	0.5	55	1.4784948825836182
38	500	0.5	25	1.4887311458587646
39	500	0.5	82	1.4590351581573486
40	500	0.25	19	1.5212388038635254
41	500	0.0	2	1.5713632106781006
42	493	1.0	35	1.4888160228729248
43	500	0.5	21	1.4918017387390137
44	500	0.75	20	1.4959697723388672
45	500	0.25	8	1.5309932231903076
46	500	0.0	0	1.542349100112915
47	500	0.75	17	1.4555728435516357
48	500	0.5	42	1.6958789825439453
49	500	0.5	19	1.8531148433685303
50	500	0.25	6	1.8047738075256348
51	500	0.5	14	2.0599732398986816
52	500	0.5	19	1.9066460132598877
53	500	0.5	9	1.7249720096588135
54	500	0.75	20	1.5373790264129639
55	500	0.5	41	1.6500539779663086
56	500	0.5	30	1.659287929534912
57	500	0.25	17	1.7640509605407715
58	500	0.0	5	1.717663288116455
59	500	0.5	48	2.0381338596343994
60	113	1.0	1	0.42220425605773926
61	500	0.25	20	1.781567096710205
62	500	0.5	49	1.5858962535858154
63	500	0.25	47	1.6986172199249268
64	500	0.5	27	1.6984057426452637
65	500	0.5	94	1.659376859664917
66	500	0.25	4	2.0195369720458984
67	500	0.75	32	1.8026018142700195
68	500	0.5	32	1.9593501091003418
69	500	0.5	0	1.8573691844940186
70	500	0.5	33	2.0566983222961426
71	500	0.5	46	2.036550760269165
72	500	0.25	11	2.2249128818511963
73	500	0.75	58	1.7880101203918457
74	500	0.5	45	2.146362781524658
75	500	0.25	45	1.7797718048095703
76	500	0.25	32	1.791524887084961
77	500	0.5	53	1.6714727878570557
78	500	0.75	78	1.4474360942840576
79	500	0.25	61	2.011836051940918
80	500	0.75	26	1.57399320602417
81	500	0.75	37	1.5185341835021973
82	500	0.5	54	1.5705997943878174
83	500	0.5	10	2.0270700454711914
84	500	0.25	56	1.7407481670379639
85	500	0.5	21	1.7375800609588623
86	500	0.25	43	1.6096789836883545
87	500	0.25	6	1.9535729885101318
88	500	0.0	3	2.110081195831299
89	500	0.75	79	1.8152508735656738
90	500	0.25	37	1.7474620342254639
91	500	0.25	30	1.7610270977020264
92	500	0.25	13	1.8346638679504395
93	500	0.5	55	1.7360620498657227
94	500	0.5	36	1.7981209754943848
95	500	0.5	10	1.8374321460723877
96	500	0.25	28	2.0231266021728516
97	500	0.5	90	1.7889835834503174
98	500	0.0	4	1.8838300704956055
99	500	0.75	35	1.6535890102386475
