Episode	EpLen	CaptureRate	Collisions	Time(s)
0	500	0.375	113	2.1787097454071045
1	500	0.375	98	2.0971388816833496
2	500	0.25	65	2.154473066329956
3	500	0.625	62	2.128862142562866
4	500	0.5	125	2.1444568634033203
5	500	0.5	35	2.444304943084717
6	500	0.625	70	2.0869150161743164
7	500	0.75	61	2.0618412494659424
8	500	0.5	193	2.065438985824585
9	500	0.375	97	2.181049108505249
10	500	0.5	75	2.05942702293396
11	500	0.5	88	2.125898838043213
12	500	0.875	123	2.3766088485717773
13	500	0.5	111	2.1393470764160156
14	500	0.5	99	2.3237130641937256
15	500	0.5	72	2.3516533374786377
16	500	0.5	145	2.0888547897338867
17	500	0.5	88	2.174982786178589
18	500	0.75	199	2.1842381954193115
19	500	0.625	106	2.4612059593200684
20	500	0.125	17	2.5308070182800293
21	500	0.875	94	2.224816083908081
22	500	0.5	96	2.313809871673584
23	500	0.625	152	2.124178886413574
24	500	0.5	107	2.1895830631256104
25	500	0.5	254	2.199448823928833
26	500	0.375	112	2.0979011058807373
27	500	0.75	118	2.3452882766723633
28	500	0.75	140	2.150905132293701
29	500	0.375	130	2.2677721977233887
30	500	0.25	60	3.2511301040649414
31	500	0.125	55	2.8968570232391357
32	500	0.375	153	2.829890012741089
33	500	0.75	114	2.2985310554504395
34	500	0.5	174	2.4228241443634033
35	500	0.875	190	2.273184061050415
36	500	0.75	127	2.3820652961730957
37	500	0.625	128	2.2510111331939697
38	500	0.625	107	2.1255359649658203
39	500	0.375	136	2.1158621311187744
40	500	0.5	103	2.257394790649414
41	500	0.5	169	2.1764988899230957
42	500	0.75	105	2.098438262939453
43	500	0.5	160	2.0590929985046387
44	500	0.5	63	2.0819625854492188
45	500	0.5	150	2.048938274383545
46	500	0.5	68	2.0749409198760986
47	500	0.375	62	2.064502000808716
48	500	0.75	74	2.0416159629821777
49	500	0.75	152	2.054452896118164
50	500	0.625	82	2.121917963027954
51	500	0.5	108	2.0757458209991455
52	500	0.75	85	2.094957113265991
53	500	0.75	164	2.0789411067962646
54	500	0.625	93	2.1055891513824463
55	500	0.625	118	2.0866549015045166
56	500	0.625	111	2.062177896499634
57	500	0.875	146	2.1452808380126953
58	500	0.625	178	2.1118991374969482
59	500	0.5	143	2.164731979370117
60	500	0.75	123	2.2383570671081543
61	500	0.625	78	2.117271900177002
62	500	0.5	195	2.131702184677124
63	500	0.5	181	2.125201940536499
64	500	0.625	106	2.0101780891418457
65	500	0.5	431	2.1395421028137207
66	500	0.375	140	2.0544581413269043
67	500	0.5	112	2.056489944458008
68	500	0.625	209	2.0256340503692627
69	500	0.5	142	2.088719129562378
70	500	0.75	226	2.0009050369262695
71	500	0.75	82	1.973297119140625
72	500	0.5	136	2.1120059490203857
73	500	0.625	62	2.1116390228271484
74	500	0.625	151	2.124584913253784
75	500	0.375	71	2.07084321975708
76	500	0.625	111	2.122117042541504
77	500	0.5	141	2.155196189880371
78	500	0.25	115	2.106400966644287
79	500	0.375	32	2.2160558700561523
80	500	0.625	124	2.326183795928955
81	500	0.375	76	2.3760838508605957
82	500	0.5	80	2.1822781562805176
83	500	0.625	57	2.4438068866729736
84	500	0.625	147	2.2680630683898926
85	500	0.5	237	2.1338279247283936
86	500	0.5	121	2.07962703704834
87	500	0.375	85	2.1634411811828613
88	500	0.375	268	2.192335844039917
89	500	0.5	66	2.0649871826171875
90	500	0.25	69	2.132533073425293
91	500	0.5	222	2.268609046936035
92	500	0.25	172	2.1590542793273926
93	500	0.625	101	2.098270893096924
94	500	0.625	74	2.257020950317383
95	500	0.5	83	2.359193801879883
96	500	0.625	173	2.146730661392212
97	500	0.625	142	2.0623652935028076
98	500	0.375	68	2.2820279598236084
99	500	0.625	178	2.1761491298675537
