Epoch	MAEnvIterations	TotalEnvInteracts	EpLen	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageCaptureRate	StdCaptureRate	MaxCaptureRate	MinCaptureRate	AverageCollisions	StdCollisions	MaxCollisions	MinCollisions	AverageCollideObstacles	StdCollideObstacles	MaxCollideObstacles	MinCollideObstacles	AverageVVals	StdVVals	MaxVVals	MinVVals	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time	Processes	Agents
0	500	4000	500.0	-352.32498	758.6913	-4.95	-2048.7	0.33	0.06298149	0.46	0.26	62.166668	131.88054	357.0	0.0	6.0	0.8164966	7.0	5.0	-0.08071844	0.021958407	-0.03147743	-0.13072222	-9.8367535e-05	88124.71	0.0	-29910.97	1.608168	-9.437402e-09	13.049229383468628	6	8
1	1000	8000	500.0	-90.32501	187.58691	0.05	-509.7	0.32999998	0.07895146	0.42	0.2	28.833334	62.24794	168.0	0.0	6.8333335	1.3437096	8.0	5.0	-58.614136	113.8739	-0.135446	-414.07037	0.0002898822	20002.69	0.0	-9883.872	1.6075506	-6.5714123e-09	26.110074520111084	6	8
2	1500	12000	500.0	-11.950001	9.963475	0.05	-28.7	0.36	0.041633315	0.42	0.3	3.1666667	3.6704524	10.0	0.0	5.0	1.1547005	6.0	3.0	-29.167824	36.726246	0.24333513	-140.4371	0.0004636099	1244.4694	0.0	-1043.9965	1.607452	-1.5795233e-09	39.006247758865356	6	8
3	2000	16000	500.0	-14.408334	15.322517	1.3	-45.7	0.33666667	0.053437397	0.42	0.26	3.5	4.8218255	14.0	0.0	6.0	1.0	8.0	5.0	-10.691286	12.260785	0.3572205	-55.79938	-0.00020264089	158.08351	0.0	-102.6836	1.6070932	1.4404457e-09	51.6740620136261	6	8
4	2500	20000	500.0	-256.15833	548.8784	-1.45	-1483.45	0.27666664	0.157233	0.52	0.04	83.0	181.12979	488.0	0.0	6.0	1.7320508	8.0	4.0	-6.1485977	5.4633136	3.933036	-28.970568	-0.0002305905	41306.29	0.0	-29020.5	1.6064434	-5.2551434e-09	64.71277856826782	6	8
5	3000	24000	500.0	-15.575	3.6905005	-12.45	-23.45	0.27333334	0.10624918	0.42	0.12	2.5	1.7078252	5.0	0.0	5.8333335	1.0671873	7.0	4.0	-38.21109	80.966705	16.92197	-382.3639	-0.0006602158	5008.72	0.0	-4451.9224	1.6062495	3.248453e-09	77.72393655776978	6	8
6	3500	28000	500.0	-246.825	514.2084	-3.45	-1396.45	0.29	0.08698659	0.44	0.18	80.166664	171.66093	464.0	2.0	6.0	0.57735026	7.0	5.0	-11.884132	24.186884	52.83336	-122.76366	-0.000293533	41450.883	0.0	-11152.653	1.6054481	2.0315252e-09	90.5363233089447	6	8
7	4000	32000	500.0	-215.15833	435.44733	-1.7	-1188.45	0.35666665	0.096896276	0.46	0.18	71.0	146.30675	398.0	1.0	5.5	1.5	8.0	3.0	-37.19069	78.767166	51.93323	-256.41907	-0.00029524168	39143.8	0.0	-20104.057	1.605493	3.4123657e-09	103.27287769317627	6	8
8	4500	36000	500.0	-21.575003	9.813628	-12.7	-40.95	0.31	0.08698659	0.44	0.18	5.3333335	3.986087	12.0	0.0	6.3333335	1.3743685	8.0	5.0	-45.72723	89.18627	98.95482	-360.25574	-0.0013463845	6131.5005	0.0	-5496.508	1.6048347	-6.1839827e-09	116.16479349136353	6	8
9	5000	40000	500.0	-228.49165	473.91425	-2.95	-1287.95	0.30666667	0.08137704	0.44	0.24	74.333336	157.77585	427.0	0.0	6.3333335	0.74535596	7.0	5.0	-16.16679	29.242865	39.795513	-122.333565	0.0008260111	38184.04	0.0	-20843.408	1.6043152	4.718698e-10	128.86417889595032	6	8
