Episode	EpLen	EpRet	CaptureRate	Collisions	CollisionsWithObstacles	QLoss	PLoss	HaveLoss	Time(s)
0	0	-11.750000000000181	0.26	0	6	nan	nan	False	5.515
1	500	-11.25000000000005	0.22	0	6	nan	nan	False	4.212
2	500	-5.000000000000121	0.32	0	7	nan	nan	False	4.096
3	500	-6.750000000000019	0.34	0	6	nan	nan	False	4.039
4	500	-24.749999999999744	0.34	0	5	nan	nan	False	3.95
5	500	-8.000000000000082	0.32	0	6	nan	nan	False	4.103
6	500	-16.250000000000167	0.14	0	8	nan	nan	False	4.256
7	500	-597.9999999999998	0.24	1	7	nan	nan	False	4.146
8	500	-764.2500000000025	0.22	1	8	nan	nan	False	4.168
9	500	-936.2500000000051	0.3	1	6	nan	nan	False	4.028
10	500	-11.000000000000126	0.32	0	6	nan	nan	False	4.165
11	500	-30.999999999999982	0.24	0	6	nan	nan	False	4.264
12	500	-29.499999999999982	0.36	0	6	nan	nan	False	3.974
13	500	-36.50000000000011	0.2	0	7	nan	nan	False	4.23
14	500	-11.000000000000158	0.32	0	6	nan	nan	False	3.952
15	500	-16.49999999999999	0.28	0	5	nan	nan	False	4.206
16	500	-16.999999999999766	0.32	0	6	nan	nan	False	4.21
17	500	-29.249999999999908	0.46	0	5	nan	nan	False	3.962
18	500	-43.74999999999969	0.18	0	7	nan	nan	False	4.295
19	500	-16.25000000000022	0.14	0	6	nan	nan	False	4.253
20	500	-10.249999999999986	0.38	0	6	nan	nan	False	3.949
21	500	-7.50000000000007	0.28	0	5	nan	nan	False	4.097
22	500	-5.999999999999947	0.4	0	6	nan	nan	False	4.109
23	500	-22.00000000000008	0.24	0	5	nan	nan	False	4.123
24	500	3.7499999999998184	0.46	0	6	nan	nan	False	3.867
25	500	-31.000000000000036	0.24	0	8	nan	nan	False	4.037
26	500	-7.500000000000127	0.28	0	8	nan	nan	False	4.173
27	500	-10.500000000000012	0.28	0	6	nan	nan	False	4.057
28	500	-2.5000000000000013	0.36	0	7	nan	nan	False	4.034
29	500	-7.500000000000066	0.28	0	8	nan	nan	False	4.147
30	500	-5.000000000000073	0.32	0	5	nan	nan	False	4.196
31	500	-6.2500000000000915	0.3	0	7	nan	nan	False	4.137
32	500	-5.000000000000095	0.32	0	8	nan	nan	False	4.068
33	500	-12.50000000000015	0.2	0	6	nan	nan	False	4.37
34	500	-17.7499999999999	0.26	0	6	nan	nan	False	4.186
35	500	-46.99999999999992	0.32	0	5	nan	nan	False	4.002
36	500	-19.50000000000003	0.28	0	5	nan	nan	False	4.189
37	500	-8.75000000000021	0.26	0	7	nan	nan	False	4.052
38	500	-42.49999999999971	0.44	0	4	nan	nan	False	4.214
39	500	-37.49999999999983	0.28	0	4	nan	nan	False	4.115
40	500	-80.24999999999963	0.22	1	7	nan	nan	False	4.161
41	500	-20.999999999999797	0.4	0	7	nan	nan	False	3.951
42	500	-5.000000000000055	0.32	0	5	nan	nan	False	4.08
43	500	-15.749999999999902	0.34	0	5	nan	nan	False	4.123
44	500	-6.750000000000098	0.34	0	6	nan	nan	False	4.199
45	500	-20.749999999999858	0.26	0	8	nan	nan	False	4.136
46	500	-11.750000000000158	0.26	0	5	nan	nan	False	4.277
47	500	-8.750000000000242	0.26	0	6	nan	nan	False	4.106
48	500	-17.999999999999975	0.4	0	6	nan	nan	False	4.004
49	500	-7.000000000000052	0.48	0	6	nan	nan	False	3.864
50	500	-32.74999999999977	0.26	0	8	nan	nan	False	4.114
51	500	-20.75000000000008	0.26	0	7	nan	nan	False	4.158
52	500	-21.749999999999833	0.34	0	7	nan	nan	False	3.991
53	500	-16.750000000000206	0.18	0	8	nan	nan	False	4.232
54	500	-13.750000000000215	0.18	0	6	nan	nan	False	4.223
55	500	-95.25000000000006	0.22	1	8	nan	nan	False	4.235
56	500	-0.49999999999999956	0.44	0	7	nan	nan	False	3.947
57	500	-7.500000000000175	0.28	0	7	nan	nan	False	4.208
58	500	-8.000000000000156	0.32	0	8	nan	nan	False	4.089
59	500	-11.00000000000009	0.32	0	7	nan	nan	False	4.018
60	500	-47.74999999999999	0.26	1	8	nan	nan	False	4.082
61	500	-13.74999999999987	0.42	0	3	nan	nan	False	3.99
62	500	-17.500000000000167	0.12	0	7	nan	nan	False	4.267
63	500	-20.500000000000224	0.12	0	6	nan	nan	False	4.328
64	500	-13.000000000000119	0.24	0	5	nan	nan	False	4.295
65	500	-937.250000000005	0.14	1	8	nan	nan	False	4.279
66	500	-11.000000000000085	0.32	0	6	nan	nan	False	4.12
67	500	-19.500000000000092	0.28	0	7	nan	nan	False	4.176
