Epoch	MAEnvIterations	TotalEnvInteracts	EpLen	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageCaptureRate	StdCaptureRate	MaxCaptureRate	MinCaptureRate	AverageCollisions	StdCollisions	MaxCollisions	MinCollisions	AverageCollideObstacles	StdCollideObstacles	MaxCollideObstacles	MinCollideObstacles	AverageVVals	StdVVals	MaxVVals	MinVVals	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time	Processes	Agents
18	9500	76000	500.0	-13.408334	3.2256033	-10.45	-18.7	0.25666666	0.100277394	0.42	0.1	1.5	1.8027756	4.0	0.0	6.6666665	1.1055416	8.0	5.0	0.60784996	37.188908	126.65423	-239.93504	-0.0005482286	950.6392	0.0	-860.3621	1.6011778	7.669131e-09	191.8178253173828	6	8
19	10000	80000	500.0	-11.908334	9.216626	-1.7	-28.2	0.37666664	0.09339283	0.52	0.24	3.5	3.5	9.0	0.0	6.0	0.57735026	7.0	5.0	1.4350277	24.41517	112.63259	-489.94278	-3.2903004e-05	576.1115	0.0	-471.22458	1.6007404	5.205472e-09	202.02333521842957	6	8
20	10500	84000	500.0	-15.491668	8.550606	-6.2	-26.7	0.26333332	0.09758187	0.44	0.12	2.3333333	2.0548046	6.0	0.0	6.3333335	0.47140452	7.0	6.0	-3.6291218	20.797318	116.187744	-203.94038	-0.00032771812	381.29648	0.0	-340.7039	1.599332	1.9222497e-09	212.27748465538025	6	8
21	11000	88000	500.0	-220.99165	457.6342	-0.45	-1243.95	0.34666666	0.05120764	0.44	0.28	72.333336	151.93054	412.0	1.0	6.1666665	1.3437096	8.0	4.0	-9.680706	25.257965	93.06111	-161.58447	-0.0002258867	32726.838	0.0	-29188.287	1.6005907	-8.642673e-09	222.53631353378296	6	8
22	11500	92000	500.0	-233.575	478.6646	-2.45	-1303.45	0.34666666	0.04714045	0.42	0.28	76.333336	157.78853	429.0	0.0	6.1666665	0.89752746	7.0	5.0	-18.876406	50.42469	147.15962	-637.7455	0.00095833343	34381.793	0.0	-29417.898	1.5990372	-5.672375e-09	232.74502849578857	6	8
23	12000	96000	500.0	-6.8249993	3.3221166	-3.45	-13.7	0.37	0.06506407	0.44	0.28	1.8333334	2.1921577	6.0	0.0	6.1666665	1.0671873	8.0	5.0	-28.121317	76.49839	331.58423	-508.949	4.63749e-05	4810.748	0.0	-4377.3804	1.5992063	-6.506841e-10	242.62267398834229	6	8
24	12500	100000	500.0	-12.491666	3.6895595	-9.7	-20.45	0.30333334	0.053437404	0.36	0.22	2.1666667	2.034426	6.0	0.0	7.0	1.0	8.0	5.0	-14.756855	56.689182	261.0068	-454.45816	0.0008354957	2336.902	0.0	-2083.4304	1.5966889	5.6674083e-09	252.83658027648926	6	8
25	13000	104000	500.0	-16.866667	4.736091	-7.45	-21.45	0.35333332	0.098432146	0.52	0.26	4.6666665	3.2489316	9.0	0.0	5.5	1.3844373	8.0	4.0	1.0311201	26.780537	173.43001	-307.99084	-0.00012426327	673.50946	0.0	-582.2829	1.5996995	7.698933e-10	262.6455774307251	6	8
26	13500	108000	500.0	-169.28334	251.65788	-4.95	-701.7	0.34666666	0.057348836	0.42	0.26	55.666668	83.34	232.0	0.0	5.6666665	1.1055416	7.0	4.0	-15.275533	54.161774	129.37982	-502.6099	0.00045283636	16929.404	0.0	-13236.919	1.5995064	-1.1523565e-09	272.73798084259033	6	8
27	14000	112000	500.0	-17.741667	5.3801656	-8.45	-24.95	0.32333335	0.04533824	0.38	0.24	4.3333335	1.5986105	7.0	2.0	5.3333335	1.2472191	7.0	3.0	-16.849857	60.120087	144.9672	-538.9657	-0.0004714032	2873.4294	0.0	-2626.1716	1.5994416	-4.718701e-09	282.9116303920746	6	8
28	14500	116000	500.0	-422.6583	586.1979	-1.2	-1409.7	0.23666668	0.07781745	0.38	0.12	137.83333	195.94594	468.0	0.0	6.6666665	0.942809	8.0	5.0	-38.181686	87.386505	138.54373	-393.25388	0.00020952523	44649.69	0.0	-39762.668	1.5973846	-8.543331e-10	293.0485918521881	6	8
29	15000	120000	500.0	-15.783334	7.9171057	-6.2	-29.2	0.30666664	0.06992059	0.4	0.22	3.3333333	2.560382	7.0	0.0	5.8333335	1.3437096	7.0	4.0	-18.180191	72.2066	266.46097	-539.5439	-0.0017072782	3994.0007	0.0	-3643.4304	1.5983119	-1.3709069e-09	303.2711479663849	6	8
30	15500	124000	500.0	-191.61668	368.93738	-7.2	-1015.45	0.29333332	0.07542472	0.38	0.14	61.833332	123.19012	337.0	1.0	5.6666665	1.2472191	7.0	4.0	-9.548296	47.088375	183.93709	-246.48093	0.00029359758	20315.688	0.0	-17872.322	1.5988894	4.0580823e-09	313.4663505554199	6	8
31	16000	128000	500.0	-20.991667	8.285802	-10.95	-35.45	0.34333333	0.050881125	0.42	0.26	5.8333335	2.9107082	11.0	2.0	6.1666665	1.0671873	8.0	5.0	-21.134766	67.84059	139.35098	-529.3381	0.00057572377	3127.1814	0.0	-2751.5684	1.5971766	5.771717e-09	323.6899137496948	6	8
32	16500	132000	500.0	-16.95	14.236105	0.05	-42.45	0.36	0.07659417	0.44	0.22	4.8333335	5.079917	15.0	0.0	4.8333335	1.0671873	7.0	4.0	-3.6037533	42.94484	161.27882	-333.86932	0.00085081905	1362.7046	0.0	-1153.6344	1.6013331	-2.0662945e-09	333.74014163017273	6	8
33	17000	136000	500.0	-37.53333	42.24597	-10.2	-130.7	0.32666665	0.063944414	0.42	0.24	11.166667	15.312486	45.0	2.0	5.8333335	0.89752746	7.0	4.0	-4.710558	19.746723	125.117226	-156.01253	0.0019701372	1482.3857	0.0	-959.65967	1.59548	-5.543232e-09	343.78773856163025	6	8
34	17500	140000	500.0	-15.991668	11.413093	-2.45	-37.7	0.34333333	0.061553944	0.42	0.26	4.1666665	4.597705	13.0	0.0	5.6666665	1.2472191	8.0	4.0	-14.19332	41.26987	97.83187	-293.03064	-0.0018483102	1387.1647	0.0	-1130.6215	1.5969013	2.5480986e-09	354.0707788467407	6	8
35	18000	144000	500.0	-108.03333	217.13719	-4.2	-593.45	0.32666668	0.07888106	0.44	0.2	34.666668	73.069984	198.0	0.0	6.0	1.4142135	7.0	3.0	-7.376896	37.840385	138.39291	-250.55635	0.0015794238	10652.705	0.0	-8496.918	1.5967346	-3.11931e-09	364.0660562515259	6	8
36	18500	148000	500.0	-326.32498	453.95795	1.3	-1099.45	0.28666666	0.11352924	0.42	0.12	106.833336	150.89114	365.0	0.0	6.1666665	2.034426	8.0	2.0	-26.139975	64.55126	120.75632	-718.0099	0.00074430805	42825.652	0.0	-36148.457	1.5963163	-4.7187014e-09	374.5013072490692	6	8
37	19000	152000	500.0	-189.61665	404.3519	-2.2	-1093.7	0.33333334	0.088443324	0.46	0.18	62.0	133.71986	361.0	1.0	5.0	1.8257419	8.0	2.0	-74.82074	151.81346	194.17186	-828.805	-0.0018771192	11610.661	0.0	-9998.181	1.599765	-1.9868182e-11	384.5363869667053	6	8
38	19500	156000	500.0	-180.82501	319.0257	-2.45	-883.95	0.33	0.05	0.38	0.24	59.166668	106.67304	294.0	0.0	6.0	1.1547005	7.0	4.0	-65.31988	143.25098	150.714	-772.05035	0.00050474954	13644.144	0.0	-11428.821	1.596303	2.4487579e-09	394.617529630661	6	8
39	20000	160000	500.0	-36.449997	63.38556	5.05	-176.45	0.4	0.10519822	0.52	0.2	12.333333	21.060759	59.0	0.0	5.0	0.8164966	6.0	4.0	-32.493088	85.499115	215.41592	-786.2232	0.0014451394	7478.0493	0.0	-5704.6206	1.5960034	6.6061795e-10	404.9067771434784	6	8
40	20500	164000	500.0	-3.3249998	7.0898256	3.3	-15.7	0.41	0.049999997	0.5	0.34	1.3333334	1.5986105	4.0	0.0	5.1666665	0.6871843	6.0	4.0	-16.753664	44.92201	131.88239	-341.08035	-0.0018068602	1746.1481	0.0	-1568.7167	1.5980774	4.5945248e-09	414.96530961990356	6	8
41	21000	168000	500.0	-22.616669	19.276857	-6.2	-63.45	0.33333334	0.06599663	0.44	0.22	6.1666665	7.31247	22.0	0.0	5.0	1.0	7.0	4.0	-8.184901	28.208641	191.9171	-325.30914	-0.0021309182	669.5721	0.0	-504.6515	1.5961542	-4.2219975e-10	425.2729561328888	6	8
42	21500	172000	500.0	-14.033334	8.338749	-2.2	-26.7	0.36666667	0.096378885	0.5	0.26	4.0	4.041452	11.0	0.0	5.6666665	1.3743685	7.0	3.0	-3.1198626	33.257435	97.20361	-282.93713	-0.00048533082	823.0615	0.0	-671.1582	1.5968437	1.1230509e-08	435.35616540908813	6	8
43	22000	176000	500.0	-89.200005	101.32426	-14.95	-280.7	0.38333333	0.04818944	0.44	0.3	29.666666	34.6009	95.0	4.0	5.5	0.95742714	7.0	4.0	-3.3446517	37.22177	161.45517	-280.38776	0.0001061062	6253.8247	0.0	-2955.5332	1.594833	-1.92225e-09	445.3979070186615	6	8
44	22500	180000	500.0	-7.2833343	10.428992	2.8	-28.45	0.42666665	0.10370899	0.58	0.28	3.0	1.9148543	7.0	1.0	3.8333333	1.3437096	6.0	2.0	-21.728365	41.993343	127.47539	-307.6355	-0.0038772773	1520.2357	0.0	-1242.8636	1.6006709	-1.0063251e-08	455.42123317718506	6	8
45	23000	184000	500.0	-11.783334	6.646846	-2.7	-24.2	0.42666665	0.0837987	0.56	0.3	4.5	1.2583058	6.0	3.0	5.0	1.0	6.0	3.0	-3.476049	23.890656	96.44914	-220.99216	0.00010010414	519.7681	0.0	-393.6105	1.5953902	1.4354784e-09	465.31539964675903	6	8
