Episode	EpLen	EpRet	CaptureRate	Collisions	CollisionsWithObstacles	QLoss	PLoss	HaveLoss	Time(s)
0	0	-4.2500000000000995	0.38	0	6	nan	nan	False	5.631
1	500	-11.250000000000174	0.22	0	5	nan	nan	False	4.388
2	500	-12.500000000000115	0.2	0	6	nan	nan	False	4.36
3	500	-8.000000000000071	0.32	0	7	nan	nan	False	4.205
4	500	-10.249999999999966	0.38	0	7	nan	nan	False	4.165
5	500	-22.000000000000078	0.24	0	5	nan	nan	False	4.39
6	500	-24.99999999999987	0.24	0	6	nan	nan	False	4.32
7	500	-13.499999999999883	0.52	0	7	nan	nan	False	3.853
8	500	-5.500000000000139	0.36	0	5	nan	nan	False	4.157
9	500	3.2499999999998663	0.5	0	5	nan	nan	False	4.097
10	500	-2591.500000000021	0.36	2	7	nan	nan	False	4.046
11	500	-836.7500000000036	0.26	1	7	nan	nan	False	4.195
12	500	-7.500000000000135	0.28	0	6	nan	nan	False	4.267
13	500	-15.00000000000011	0.16	0	8	nan	nan	False	5.106
14	500	-11.250000000000064	0.22	0	6	nan	nan	False	4.878
15	500	-9.749999999999961	0.34	0	6	nan	nan	False	4.873
16	500	-6.5000000000000435	0.44	0	4	nan	nan	False	4.775
17	500	-18.249999999999886	0.3	0	6	nan	nan	False	4.732
18	500	-20.000000000000064	0.32	0	6	nan	nan	False	5.19
19	500	-8.750000000000195	0.26	0	6	nan	nan	False	4.841
20	500	-3.7500000000001847	0.34	0	7	nan	nan	False	5.208
21	500	-7.7499999999998685	0.42	0	7	nan	nan	False	4.687
22	500	-14.000000000000195	0.32	0	8	nan	nan	False	4.766
23	500	-10.000000000000167	0.24	0	8	nan	nan	False	5.65
24	500	-11.000000000000226	0.32	0	6	nan	nan	False	4.827
25	500	-21.50000000000011	0.2	0	6	nan	nan	False	5.526
26	500	-42.74999999999997	0.34	1	5	nan	nan	False	4.766
27	500	-24.7499999999998	0.34	0	5	nan	nan	False	4.949
28	500	-639.7500000000001	0.32	1	6	nan	nan	False	4.769
29	500	-1118.7500000000077	0.26	1	7	nan	nan	False	4.907
30	500	-2.5000000000000155	0.36	0	6	nan	nan	False	4.668
31	500	-24.74999999999976	0.34	0	4	nan	nan	False	4.968
32	500	-7.750000000000126	0.42	0	7	nan	nan	False	4.607
33	500	-17.249999999999993	0.22	0	4	nan	nan	False	5.291
34	500	-28.749999999999787	0.18	0	7	nan	nan	False	4.851
35	500	-7.500000000000105	0.28	0	5	nan	nan	False	5.321
36	500	-7.500000000000062	0.28	0	6	nan	nan	False	4.9
37	500	-1157.7500000000082	0.26	1	8	nan	nan	False	4.812
38	500	9.99999999999983	0.56	0	5	nan	nan	False	4.614
39	500	-11.250000000000128	0.22	0	7	nan	nan	False	5.191
40	500	-1371.2500000000118	0.54	1	4	nan	nan	False	5.2
41	500	-17.749999999999943	0.26	0	6	nan	nan	False	4.726
42	500	-6.2500000000000595	0.3	0	6	nan	nan	False	4.793
43	500	-11.499999999999883	0.36	0	7	nan	nan	False	4.691
44	500	-37.999999999999794	0.32	0	7	nan	nan	False	4.863
45	500	-53.25000000000004	0.22	0	5	nan	nan	False	5.166
46	500	-24.500000000000043	0.2	0	7	nan	nan	False	5.665
47	500	-1095.5000000000073	0.2	1	7	nan	nan	False	4.948
48	500	-34.2499999999998	0.14	0	7	nan	nan	False	5.492
49	500	-16.50000000000012	0.28	0	7	nan	nan	False	5.179
50	500	-5.5000000000000036	0.36	0	5	nan	nan	False	4.561
51	500	-14.250000000000169	0.22	0	8	nan	nan	False	4.24
52	500	-760.0000000000023	0.24	1	8	nan	nan	False	4.27
53	500	-11.250000000000107	0.22	0	8	nan	nan	False	4.276
54	500	-20.500000000000163	0.12	0	7	nan	nan	False	4.488
55	500	-16.250000000000103	0.38	0	5	nan	nan	False	4.099
56	500	-22.749999999999904	0.42	0	6	nan	nan	False	4.209
57	500	-8.00000000000011	0.32	0	7	nan	nan	False	4.167
58	500	-9.750000000000105	0.34	0	6	nan	nan	False	4.045
59	500	-33.49999999999973	0.2	0	6	nan	nan	False	4.311
60	500	-7.500000000000153	0.28	0	6	nan	nan	False	4.18
61	500	-5.000000000000183	0.32	0	8	nan	nan	False	4.052
62	500	-27.75000000000002	0.1	0	8	nan	nan	False	4.376
63	500	-29.49999999999987	0.36	0	6	nan	nan	False	4.065
64	500	-13.750000000000174	0.18	0	8	nan	nan	False	4.324
65	500	-2.5000000000000346	0.36	0	7	nan	nan	False	4.174
66	500	-11.750000000000195	0.26	0	7	nan	nan	False	4.197
67	500	-396.2499999999991	0.3	1	5	nan	nan	False	4.222
68	500	-10.000000000000181	0.24	0	7	nan	nan	False	4.268
69	500	-21.500000000000043	0.2	0	7	nan	nan	False	4.452
70	500	-3.7500000000001665	0.34	0	6	nan	nan	False	4.097
71	500	-7.7500000000001155	0.4	0	7	nan	nan	False	4.24
72	500	-40.49999999999946	0.28	0	6	nan	nan	False	4.209
73	500	-13.750000000000135	0.18	0	8	nan	nan	False	4.341
74	500	-22.99999999999976	0.32	0	7	nan	nan	False	4.262
75	500	-11.00000000000016	0.32	0	6	nan	nan	False	4.235
76	500	-12.000000000000066	0.4	0	5	nan	nan	False	4.086
77	500	-20.00000000000017	0.08	0	8	nan	nan	False	4.434
78	500	-14.999999999999684	0.4	0	5	nan	nan	False	4.222
79	500	-13.750000000000172	0.18	0	7	nan	nan	False	4.297
80	500	-2.500000000000014	0.36	0	6	nan	nan	False	4.196
81	500	-178.7499999999996	0.18	1	8	nan	nan	False	4.559
82	500	-21.49999999999994	0.2	0	7	nan	nan	False	4.266
83	500	-10.500000000000092	0.28	0	6	nan	nan	False	4.304
84	500	-10.249999999999957	0.38	0	6	nan	nan	False	4.13
85	500	-13.750000000000167	0.18	0	8	nan	nan	False	4.406
86	500	-26.249999999999787	0.46	0	5	nan	nan	False	3.909
87	500	-1485.5000000000132	0.2	1	7	nan	nan	False	4.286
88	500	-12.250000000000172	0.3	0	7	nan	nan	False	4.149
89	500	-1.2499999999999876	0.38	0	6	nan	nan	False	4.103
90	500	-8.750000000000142	0.26	0	8	nan	nan	False	4.132
91	500	-25.99999999999992	0.32	0	5	nan	nan	False	4.25
92	500	-809.0000000000032	0.32	1	6	nan	nan	False	4.297
93	500	-1085.2500000000075	0.46	1	7	nan	nan	False	3.945
94	500	-6.25000000000014	0.3	0	6	nan	nan	False	4.212
95	500	-2.249999999999968	0.46	0	5	nan	nan	False	3.894
96	500	-27.7499999999999	0.34	0	6	nan	nan	False	4.133
97	500	-25.249999999999908	0.38	0	6	nan	nan	False	4.221
98	500	-20.250000000000128	0.22	0	6	nan	nan	False	4.353
99	500	-4.2499999999999805	0.38	0	5	nan	nan	False	4.099
100	500	-16.249999999999833	0.38	0	7	nan	nan	False	3.921
101	500	-11.000000000000002	0.32	0	7	nan	nan	False	4.131
102	500	-9.250000000000197	0.28	0	7	nan	nan	False	4.149
103	500	-5.0000000000001155	0.32	0	5	nan	nan	False	4.193
104	500	-11.250000000000144	0.22	0	8	nan	nan	False	4.227
105	500	-6.750000000000181	0.34	0	8	nan	nan	False	4.085
106	500	-40.749999999999844	0.4	0	3	nan	nan	False	4.155
107	500	-1.2500000000001776	0.38	0	5	nan	nan	False	4.228
108	500	-5.062616992290714e-14	0.4	0	8	nan	nan	False	4.08
109	500	-16.250000000000163	0.14	0	7	nan	nan	False	4.363
110	500	-24.24999999999985	0.3	0	5	nan	nan	False	4.222
111	500	-8.704148513061227e-14	0.4	0	7	nan	nan	False	3.957
112	500	-14.750000000000014	0.26	0	8	nan	nan	False	4.172
113	500	-1214.750000000009	0.26	1	7	nan	nan	False	4.16
114	500	-5.000000000000041	0.32	0	6	nan	nan	False	4.22
115	500	-6.750000000000028	0.34	0	5	nan	nan	False	4.189
116	500	-9.250000000000165	0.3	0	5	nan	nan	False	4.278
117	500	-13.500000000000153	0.28	0	7	nan	nan	False	4.084
118	500	-6.250000000000124	0.3	0	7	nan	nan	False	4.212
119	500	-19.499999999999932	0.28	0	5	nan	nan	False	4.256
120	500	-20.250000000000053	0.22	0	8	nan	nan	False	4.271
121	500	-3.2500000000000773	0.54	0	4	nan	nan	False	4.071
122	500	-691.5000000000013	0.28	1	8	nan	nan	False	4.104
123	500	-7.499999999999948	0.52	0	6	nan	nan	False	3.959
124	500	-28.499999999999602	0.52	0	6	nan	nan	False	3.839
125	500	-18.750000000000135	0.1	0	8	nan	nan	False	4.402
126	500	-11.75000000000014	0.26	0	7	nan	nan	False	4.198
127	500	-9.250000000000167	0.3	0	6	nan	nan	False	4.238
128	500	6.249999999999878	0.5	0	6	nan	nan	False	3.936
129	500	-959.7500000000053	0.26	1	8	nan	nan	False	4.119
130	500	-19.74999999999986	0.42	0	7	nan	nan	False	4.072
131	500	-11.250000000000158	0.22	0	8	nan	nan	False	4.208
132	500	-33.749999999999844	0.1	0	8	nan	nan	False	4.492
133	500	-1173.0000000000082	0.4	1	4	nan	nan	False	4.226
134	500	-11.250000000000153	0.22	0	7	nan	nan	False	4.312
135	500	-18.500000000000043	0.2	0	6	nan	nan	False	4.343
136	500	-17.750000000000103	0.26	0	7	nan	nan	False	4.286
