Episode	EpLen	CaptureRate	Collisions	Time(s)
0	500	0.25	1	1.5740180015563965
1	500	0.25	1	2.1216368675231934
2	500	0.75	11	1.8531839847564697
3	500	0.75	4	1.807049036026001
4	500	0.5	8	1.8398828506469727
5	500	0.75	10	1.8681612014770508
6	500	0.5	3	1.6923940181732178
7	500	0.75	1	1.7903282642364502
8	131	1.0	2	0.43143391609191895
9	500	0.75	18	1.5023281574249268
10	500	0.5	8	1.7207870483398438
11	500	0.5	7	1.5504961013793945
12	500	0.5	1	1.5087261199951172
13	360	1.0	0	1.196336269378662
14	500	0.75	11	1.6982028484344482
15	500	0.5	181	1.7251918315887451
16	500	0.75	40	1.5151867866516113
17	266	1.0	3	0.7938511371612549
18	500	0.75	63	1.9956281185150146
19	266	1.0	4	0.9913599491119385
20	500	0.25	6	2.1344189643859863
21	314	1.0	7	1.2945539951324463
22	500	0.75	12	1.6478357315063477
23	500	0.75	11	1.4905860424041748
24	500	0.5	72	1.520482063293457
25	500	0.5	10	1.7874350547790527
26	500	0.5	17	2.0138700008392334
27	500	0.75	11	1.6777260303497314
28	500	0.75	5	1.764441728591919
29	500	0.75	8	2.1275646686553955
30	500	0.5	4	1.9389560222625732
31	500	0.0	12	1.9326260089874268
32	500	0.25	3	2.0463709831237793
33	500	0.75	9	1.8588979244232178
34	500	0.75	5	1.7071559429168701
35	307	1.0	2	1.06019926071167
36	500	0.5	5	1.689291000366211
37	500	0.75	6	1.6512031555175781
38	500	0.75	31	1.7302930355072021
39	500	0.5	6	1.7028441429138184
40	500	0.25	3	1.6997628211975098
41	500	0.25	10	1.7769670486450195
42	500	0.5	5	1.6350388526916504
43	500	0.75	3	1.6499528884887695
44	431	1.0	14	1.497140884399414
45	500	0.5	36	1.6859960556030273
46	500	0.75	15	1.6691632270812988
47	500	0.75	7	1.6369037628173828
48	500	0.75	35	1.7123479843139648
49	500	0.75	7	1.706383228302002
50	500	0.75	6	1.6752049922943115
51	500	0.5	3	1.6796298027038574
52	500	0.75	54	1.690748929977417
53	500	0.75	1	1.7183520793914795
54	500	0.5	6	1.6632158756256104
55	500	0.75	13	1.6359889507293701
56	316	1.0	1	1.0767481327056885
57	500	0.75	4	1.643136978149414
58	500	0.75	4	1.6375679969787598
59	500	0.5	14	1.6905460357666016
60	393	1.0	40	1.280574083328247
61	500	0.5	1	1.6750750541687012
62	500	0.75	3	1.6627240180969238
63	500	0.75	4	1.6472220420837402
64	500	0.75	11	1.692840814590454
65	500	0.75	3	1.6363341808319092
66	500	0.75	10	1.6873760223388672
67	500	0.75	10	1.6540989875793457
68	500	0.75	19	1.6500921249389648
69	500	0.75	0	1.6769928932189941
70	500	0.75	21	1.6272478103637695
71	500	0.75	18	1.6938109397888184
72	500	0.25	1	1.6932780742645264
73	500	0.75	4	1.5892391204833984
74	500	0.5	3	1.616612195968628
75	500	0.5	14	1.6589281558990479
76	500	0.25	5	1.6683521270751953
77	488	1.0	4	1.6463332176208496
78	500	0.75	7	1.6324048042297363
79	500	0.5	1	1.7348322868347168
80	317	1.0	9	1.080254077911377
81	500	0.25	6	1.6842811107635498
82	500	0.5	5	1.666490077972412
83	500	0.75	6	1.6327028274536133
84	500	0.5	20	1.6812500953674316
85	500	0.75	11	1.6530201435089111
86	500	0.25	27	1.6988520622253418
87	500	0.5	17	1.6406500339508057
88	500	0.25	11	1.6975290775299072
89	500	0.75	19	1.7272541522979736
90	500	0.25	13	1.708655834197998
91	332	1.0	5	1.1713039875030518
92	500	0.5	8	1.6344010829925537
93	500	0.5	6	1.678577184677124
94	500	0.75	5	1.6333460807800293
95	463	1.0	9	1.5244908332824707
96	500	0.5	16	1.6576149463653564
97	500	0.75	5	1.6519198417663574
98	500	0.75	7	1.6549830436706543
99	500	0.75	3	1.6479647159576416
