Episode	EpLen	CaptureRate	Collisions	Time(s)
0	500	0.875	309	5.716326951980591
1	500	0.8125	436	5.70418119430542
2	500	0.8125	511	5.711910963058472
3	500	0.9375	620	5.457244157791138
4	500	0.8125	308	5.167195796966553
5	500	0.875	1114	5.6872758865356445
6	500	0.8125	457	5.151100158691406
7	500	0.9375	462	5.762325048446655
8	500	0.75	503	5.863797903060913
9	500	0.75	406	6.061296224594116
10	500	0.8125	766	6.879439115524292
11	500	0.875	394	6.415632009506226
12	500	0.875	625	6.018110990524292
13	500	0.6875	548	5.3513617515563965
14	500	0.875	539	5.359646797180176
15	500	0.8125	482	5.998814105987549
16	500	0.8125	517	5.818262100219727
17	500	0.8125	428	5.440157890319824
18	500	0.75	394	5.765866994857788
19	500	0.8125	394	6.319622039794922
20	500	0.75	695	6.034452199935913
21	433	1.0	275	5.144212007522583
22	500	0.6875	453	5.7534661293029785
23	500	0.875	448	6.1737518310546875
24	500	0.9375	434	5.81093692779541
25	500	0.625	774	6.023164987564087
26	500	0.8125	306	5.675575017929077
27	500	0.75	369	5.887896776199341
28	500	0.75	556	5.776871919631958
29	500	0.75	321	5.389482021331787
30	500	0.8125	616	5.64668607711792
31	500	0.75	608	5.920993089675903
32	500	0.8125	311	5.588158369064331
33	500	0.8125	356	5.481760025024414
34	500	0.625	822	6.04814600944519
35	500	0.875	354	5.737035751342773
36	500	0.9375	298	5.326564788818359
37	500	0.8125	401	5.171621084213257
38	500	0.75	595	5.102777004241943
39	500	0.9375	602	5.474293947219849
40	500	0.6875	468	5.0380589962005615
41	500	0.75	479	5.749497890472412
42	500	0.9375	413	5.575239896774292
43	500	0.6875	546	5.7035439014434814
44	500	0.75	493	5.447652101516724
45	500	0.75	655	6.325628280639648
46	500	0.875	319	6.089943885803223
47	500	0.6875	752	5.653964042663574
48	500	0.8125	324	5.887614011764526
49	500	0.8125	603	5.782265663146973
50	500	0.8125	401	5.779750108718872
51	500	0.9375	335	5.687368869781494
52	500	0.75	640	5.668564081192017
53	500	0.8125	718	5.531304121017456
54	500	0.75	424	5.695003032684326
55	500	0.875	432	5.603379964828491
56	500	0.875	416	5.51790189743042
57	500	0.9375	367	5.661972761154175
58	500	0.75	553	5.711457014083862
59	500	0.75	404	5.016333103179932
60	500	0.875	349	5.258478164672852
61	500	0.75	448	5.566819190979004
62	500	0.8125	345	5.563135862350464
63	500	0.6875	548	5.465458869934082
64	500	0.8125	362	5.026386976242065
65	500	0.8125	664	5.197245836257935
66	500	0.6875	378	5.345489263534546
67	500	0.6875	452	5.019052982330322
68	500	0.625	564	5.861147880554199
69	500	0.875	505	5.647519111633301
70	485	1.0	352	5.669695854187012
71	500	0.8125	435	7.21471381187439
72	500	0.875	261	5.059197902679443
73	500	0.8125	697	5.079493045806885
74	500	0.75	354	5.7054338455200195
75	500	0.8125	504	5.872686147689819
76	500	0.75	547	5.845231294631958
77	500	0.9375	306	5.980077028274536
78	500	0.9375	357	6.326840162277222
79	500	0.8125	549	6.289123058319092
80	500	0.6875	470	5.934383153915405
81	500	0.8125	368	5.97109580039978
82	500	0.75	555	6.104408025741577
83	500	0.9375	396	6.015728950500488
84	500	0.875	534	5.558551073074341
85	500	0.8125	394	5.37096905708313
86	500	0.75	756	5.870305061340332
87	500	0.75	467	6.175591707229614
88	500	0.875	358	5.749176979064941
89	500	0.8125	393	6.327271223068237
90	500	0.75	366	5.6098222732543945
91	500	0.6875	595	5.741235017776489
92	500	0.8125	509	6.054743766784668
93	500	0.875	446	6.2212958335876465
94	500	0.875	571	5.871621131896973
95	500	0.75	573	5.90783166885376
96	500	0.6875	1151	5.812521934509277
97	500	0.875	366	5.259029865264893
98	500	0.75	705	5.924797058105469
99	500	0.8125	341	5.5433478355407715
