Epoch	MAEnvIterations	TotalEnvInteracts	EpLen	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageCaptureRate	StdCaptureRate	MaxCaptureRate	MinCaptureRate	AverageCollisions	StdCollisions	MaxCollisions	MinCollisions	AverageCollideObstacles	StdCollideObstacles	MaxCollideObstacles	MinCollideObstacles	AverageVVals	StdVVals	MaxVVals	MinVVals	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time	Processes	Agents
0	500	4000	500.0	-142.28334	291.81558	-2.45	-794.7	0.26666668	0.07272475	0.36	0.16	44.833332	97.58316	263.0	0.0	7.5	0.5	8.0	7.0	-0.013853567	0.012449312	0.029619567	-0.050586343	0.0003272742	20231.484	0.0	-4741.2446	1.6083881	-8.354585e-09	15.675458431243896	6	8
1	1000	8000	500.0	-125.53333	229.19441	-2.95	-635.2	0.24666667	0.108115174	0.4	0.04	39.0	76.47004	209.0	0.0	6.6666665	0.942809	8.0	5.0	-22.735052	37.16205	-0.078085974	-168.04349	-0.00023741524	15924.363	0.0	-4015.0588	1.608503	3.6160148e-09	28.046708345413208	6	8
2	1500	12000	500.0	-15.158333	13.846191	-3.7	-45.2	0.31666666	0.033499587	0.36	0.26	3.3333333	4.4596963	13.0	0.0	5.5	0.95742714	7.0	4.0	-29.93806	42.031754	0.4323024	-277.3173	0.00019342017	1825.5787	0.0	-1655.5375	1.6082878	-2.0911297e-09	40.09052014350891	6	8
3	2000	16000	500.0	-11.908333	3.3893726	-7.7	-16.2	0.33666667	0.13535962	0.54	0.14	2.6666667	1.885618	6.0	0.0	6.5	1.3844373	8.0	4.0	-12.994094	13.000836	0.35266113	-51.949703	2.82377e-05	175.5197	0.0	-138.1259	1.6075029	1.18315215e-08	51.938785791397095	6	8
4	2500	20000	500.0	-9.616668	9.824148	5.8	-20.45	0.37333333	0.12256519	0.54	0.26	2.6666667	1.8856181	6.0	0.0	5.6666665	1.2472191	7.0	4.0	-4.2113786	4.6067133	4.866834	-30.41702	-0.00026477376	51.088734	0.0	-17.973492	1.6075511	-5.2303073e-09	63.95383858680725	6	8
5	3000	24000	500.0	-17.074999	13.760412	1.3	-44.2	0.31333333	0.11234866	0.48	0.18	3.8333333	3.8908727	11.0	0.0	6.1666665	1.3437096	8.0	4.0	-3.2810154	3.6820946	9.948438	-23.770466	-0.0004085501	44.89058	0.0	-11.823638	1.6075956	7.1724258e-09	75.99067711830139	6	8
6	3500	28000	500.0	-10.741668	5.955419	-2.45	-18.95	0.28333333	0.059348315	0.36	0.2	1.1666666	1.0671873	3.0	0.0	6.6666665	0.942809	8.0	5.0	-4.5708017	3.5825179	9.283749	-41.43266	-0.00020509958	23.14527	0.0	-8.948264	1.6068144	1.0704e-08	88.05872678756714	6	8
7	4000	32000	500.0	-27.158335	13.992124	-2.45	-49.45	0.3166667	0.05587685	0.38	0.22	7.3333335	4.2687497	14.0	0.0	5.3333335	1.3743685	7.0	4.0	-2.8957267	4.247191	11.131061	-33.873516	-0.0003177921	99.06225	0.0	-38.05811	1.6065348	5.3445497e-09	100.27843284606934	6	8
8	4500	36000	500.0	-16.575	7.9983726	-6.7	-32.45	0.26999998	0.07895146	0.36	0.14	2.8333333	3.3374975	10.0	0.0	6.3333335	0.942809	8.0	5.0	-4.90395	3.6591046	12.592086	-33.03771	0.00016610324	45.166126	0.0	-22.463486	1.6054269	-7.684032e-09	112.52651977539062	6	8
9	5000	40000	500.0	-19.866667	9.012338	-3.95	-32.45	0.35333332	0.08219219	0.48	0.24	5.6666665	3.1446605	10.0	2.0	5.3333335	1.3743685	8.0	4.0	-3.7671254	3.5425262	19.34535	-31.324566	-0.00028186044	73.09791	0.0	-38.660416	1.6065502	-5.6326392e-09	124.68740344047546	6	8
