Episode	EpLen	CaptureRate	Collisions	Time(s)
0	249	1.0	10	0.37829113006591797
1	275	1.0	0	0.3785059452056885
2	500	0.0	0	0.6872498989105225
3	500	0.0	0	0.6613729000091553
4	133	1.0	4	0.179520845413208
5	500	0.0	0	0.6855180263519287
6	99	1.0	1	0.13262701034545898
7	48	1.0	0	0.06641197204589844
8	126	1.0	0	0.17768502235412598
9	500	0.0	0	0.6870729923248291
10	60	1.0	0	0.0809941291809082
11	107	1.0	0	0.15050506591796875
12	500	0.0	0	0.6800389289855957
13	155	1.0	4	0.22541022300720215
14	108	1.0	0	0.1519317626953125
15	38	1.0	0	0.05680990219116211
16	500	0.0	0	0.6951332092285156
17	49	1.0	0	0.0671091079711914
18	500	0.0	0	0.6884748935699463
19	121	1.0	3	0.16335415840148926
20	62	1.0	0	0.08884596824645996
21	92	1.0	2	0.12473082542419434
22	50	1.0	0	0.07397317886352539
23	70	1.0	0	0.1000528335571289
24	118	1.0	0	0.16267108917236328
25	86	1.0	8	0.11476707458496094
26	113	1.0	1	0.1635751724243164
27	105	1.0	0	0.13550996780395508
28	346	1.0	0	0.47549915313720703
29	500	0.0	0	0.6847870349884033
30	50	1.0	0	0.06615400314331055
31	65	1.0	0	0.0879209041595459
32	81	1.0	0	0.11475777626037598
33	113	1.0	2	0.15310120582580566
34	500	0.0	2	0.697735071182251
35	500	0.0	0	0.6856839656829834
36	37	1.0	0	0.0483098030090332
37	500	0.0	0	0.6780111789703369
38	376	1.0	0	0.5167582035064697
39	144	1.0	0	0.2234330177307129
40	86	1.0	3	0.13179993629455566
41	63	1.0	0	0.12312507629394531
42	144	1.0	0	0.2360231876373291
43	500	0.0	0	0.6968498229980469
44	84	1.0	0	0.11654329299926758
45	111	1.0	1	0.1503889560699463
46	61	1.0	0	0.07964611053466797
47	14	1.0	0	0.019343137741088867
48	338	1.0	0	0.4621899127960205
49	70	1.0	0	0.08924388885498047
50	111	1.0	0	0.15623784065246582
51	98	1.0	0	0.1340808868408203
52	62	1.0	6	0.08609580993652344
53	180	1.0	3	0.2430431842803955
54	500	0.0	0	0.6779589653015137
55	146	1.0	0	0.19822478294372559
56	500	0.0	0	0.7075409889221191
57	245	1.0	0	0.3425102233886719
58	86	1.0	3	0.12318634986877441
59	500	0.0	0	0.6808412075042725
60	500	0.0	0	0.6960828304290771
61	99	1.0	0	0.14935517311096191
62	500	0.0	0	0.6800429821014404
63	116	1.0	0	0.15835905075073242
64	132	1.0	3	0.18654894828796387
65	193	1.0	0	0.2644360065460205
66	106	1.0	9	0.14704108238220215
67	77	1.0	0	0.10703516006469727
68	135	1.0	10	0.17926597595214844
69	57	1.0	0	0.08337688446044922
70	49	1.0	0	0.06641316413879395
71	50	1.0	0	0.07111620903015137
72	500	0.0	0	0.6891248226165771
73	500	0.0	0	0.6824381351470947
74	104	1.0	10	0.14201116561889648
75	166	1.0	1	0.23009586334228516
76	100	1.0	2	0.1329188346862793
77	500	0.0	0	0.6820275783538818
78	57	1.0	2	0.0759267807006836
79	45	1.0	0	0.06061601638793945
80	46	1.0	0	0.06584596633911133
81	64	1.0	0	0.0865471363067627
82	23	1.0	0	0.031783103942871094
83	92	1.0	1	0.13579511642456055
84	79	1.0	0	0.10546207427978516
85	65	1.0	0	0.08822011947631836
86	114	1.0	0	0.1696178913116455
87	54	1.0	0	0.10980582237243652
88	500	0.0	0	0.7853779792785645
89	96	1.0	0	0.15024995803833008
90	500	0.0	0	0.6958718299865723
91	105	1.0	2	0.14192891120910645
92	300	1.0	0	0.46156907081604004
93	60	1.0	7	0.08083891868591309
94	138	1.0	0	0.19160103797912598
95	96	1.0	6	0.13286399841308594
96	58	1.0	0	0.08410191535949707
97	53	1.0	0	0.07433605194091797
98	100	1.0	2	0.17482328414916992
99	500	0.0	0	0.7603988647460938
