Episode	EpLen	CaptureRate	Collisions	Time(s)
0	500	0.8515625	941	56.643221855163574
1	500	0.796875	867	51.339516162872314
2	500	0.828125	936	56.780966997146606
3	500	0.84375	1091	50.92096829414368
4	500	0.828125	827	52.42646241188049
5	500	0.875	764	50.78742694854736
6	500	0.8515625	817	50.83383393287659
7	500	0.8671875	1261	54.10335087776184
8	500	0.890625	758	55.244549036026
9	500	0.875	921	54.53799319267273
10	500	0.8984375	1187	57.495664834976196
11	500	0.859375	1072	56.452725887298584
12	500	0.9296875	805	51.37773776054382
13	500	0.859375	824	50.532464265823364
14	500	0.84375	946	52.02324676513672
15	500	0.890625	747	56.812458992004395
16	500	0.8828125	838	52.70722031593323
17	500	0.7890625	1235	56.17961597442627
18	500	0.8828125	892	53.32695007324219
19	500	0.859375	763	55.39220094680786
20	500	0.8671875	714	56.503772020339966
21	500	0.8671875	783	50.207534074783325
22	500	0.8828125	819	53.767637968063354
23	500	0.84375	735	52.64827799797058
24	500	0.875	860	54.602362871170044
25	500	0.890625	990	50.36662697792053
26	500	0.8046875	748	53.11219882965088
27	500	0.828125	995	52.96337890625
28	500	0.859375	788	50.90374207496643
29	500	0.8359375	812	60.33453917503357
30	500	0.90625	920	56.442339181900024
31	500	0.8359375	1280	55.28249788284302
32	500	0.859375	1066	54.50430679321289
33	500	0.8203125	1252	67.72422289848328
34	500	0.84375	901	56.45060133934021
35	500	0.84375	730	59.03656816482544
36	500	0.8671875	1042	53.390366077423096
37	500	0.828125	1143	55.72856593132019
38	500	0.8515625	958	53.03453493118286
39	500	0.859375	893	51.15150809288025
40	500	0.859375	808	55.732112884521484
41	500	0.875	911	56.245391845703125
42	500	0.890625	915	53.84552621841431
43	500	0.875	903	58.02383804321289
44	500	0.8984375	798	52.665059089660645
45	500	0.84375	688	51.46257495880127
46	500	0.8984375	801	53.02189517021179
47	500	0.8671875	750	50.70569086074829
48	500	0.8359375	1014	51.99140024185181
49	500	0.8671875	1018	51.963826179504395
50	500	0.859375	1026	52.31505990028381
51	500	0.859375	1030	52.04433298110962
52	500	0.875	933	50.58392596244812
53	500	0.8828125	769	55.351831912994385
54	500	0.8359375	1152	54.141741037368774
55	500	0.828125	1176	60.604588985443115
56	500	0.90625	853	63.37329578399658
57	500	0.9140625	730	52.08188199996948
58	500	0.859375	1004	54.804502964019775
59	500	0.890625	1063	56.379348039627075
60	500	0.8515625	853	53.87268304824829
61	500	0.8671875	763	55.168927907943726
62	500	0.8828125	695	55.812216997146606
63	500	0.796875	841	56.28621578216553
64	500	0.890625	918	57.3479700088501
65	500	0.890625	823	58.08092999458313
66	500	0.90625	762	57.378273010253906
67	500	0.8203125	950	55.303871870040894
68	500	0.84375	914	53.39919114112854
69	500	0.8203125	702	57.647780895233154
70	500	0.8671875	1002	63.298972845077515
71	500	0.875	929	55.85483384132385
72	500	0.890625	777	56.52190375328064
73	500	0.8359375	947	53.090490102767944
74	500	0.8359375	1046	50.286032915115356
75	500	0.8515625	890	51.516226053237915
76	500	0.7734375	1201	51.54844808578491
77	500	0.875	868	51.59197783470154
78	500	0.828125	735	49.21930503845215
79	500	0.8984375	767	60.15306305885315
80	500	0.890625	1184	59.36332607269287
81	500	0.9140625	1201	58.533114194869995
82	500	0.8671875	1044	55.0493381023407
83	500	0.8984375	1020	50.958526849746704
84	500	0.8359375	1094	48.74523091316223
85	500	0.875	902	49.63456988334656
86	500	0.859375	820	49.99463987350464
87	500	0.8671875	702	47.32848405838013
88	500	0.890625	939	49.84050917625427
89	500	0.8984375	767	49.2510461807251
90	500	0.796875	1091	50.96724724769592
91	500	0.9140625	815	51.394636154174805
92	500	0.8359375	1553	51.07643008232117
93	500	0.8828125	834	47.964393854141235
94	500	0.828125	990	49.913813829422
95	500	0.84375	1194	49.41151189804077
96	500	0.8828125	1154	49.88093400001526
97	500	0.828125	933	55.21066212654114
98	500	0.84375	956	51.56019473075867
99	500	0.890625	921	52.20198583602905
