Episode	EpLen	CaptureRate	Collisions	Time(s)
0	500	0.75	7	1.4036662578582764
1	160	1.0	8	0.5056188106536865
2	475	1.0	1	1.4463129043579102
3	113	1.0	4	0.3445582389831543
4	477	1.0	7	1.3798201084136963
5	81	1.0	1	0.24582695960998535
6	123	1.0	4	0.3797729015350342
7	500	0.75	7	1.3860840797424316
8	500	0.75	15	1.4811110496520996
9	500	0.75	20	1.4497699737548828
10	59	1.0	21	0.17606091499328613
11	434	1.0	6	1.1730120182037354
12	500	0.5	4	1.4709842205047607
13	88	1.0	9	0.28377509117126465
14	125	1.0	12	0.38719892501831055
15	179	1.0	5	0.5408971309661865
16	164	1.0	19	0.47321391105651855
17	86	1.0	6	0.25759387016296387
18	77	1.0	2	0.23146700859069824
19	302	1.0	5	0.8968839645385742
20	500	0.75	19	1.5022079944610596
21	226	1.0	15	0.6966001987457275
22	500	0.75	22	1.4332706928253174
23	500	0.5	9	1.4542491436004639
24	500	0.75	3	1.328561782836914
25	500	0.75	1	1.380479097366333
26	217	1.0	0	0.6005311012268066
27	114	1.0	3	0.3275480270385742
28	44	1.0	21	0.13460302352905273
29	500	0.5	0	1.4247441291809082
30	157	1.0	0	0.4626600742340088
31	92	1.0	2	0.27126288414001465
32	500	0.75	3	1.4128928184509277
33	80	1.0	5	0.24722886085510254
34	326	1.0	4	0.8962349891662598
35	250	1.0	2	0.7362310886383057
36	97	1.0	2	0.28314805030822754
37	254	1.0	1	0.7199978828430176
38	451	1.0	3	1.2867200374603271
39	104	1.0	0	0.3104579448699951
40	348	1.0	14	0.9735450744628906
41	500	0.75	9	1.4390368461608887
42	500	0.75	1	1.414745807647705
43	500	0.75	2	1.4247400760650635
44	139	1.0	6	0.43089771270751953
45	112	1.0	0	0.33369898796081543
46	63	1.0	6	0.17969894409179688
47	80	1.0	5	0.24227619171142578
48	305	1.0	1	0.8390729427337646
49	414	1.0	12	1.4090628623962402
50	406	1.0	36	1.279149055480957
51	75	1.0	2	0.2268218994140625
52	62	1.0	1	0.1822359561920166
53	50	1.0	0	0.15906691551208496
54	500	0.75	1	1.4014708995819092
55	500	0.75	7	1.3288991451263428
56	500	0.75	8	1.4342248439788818
57	500	0.75	2	1.364485263824463
58	137	1.0	22	0.39812302589416504
59	500	0.5	1	1.4651079177856445
60	500	0.75	1	1.3820087909698486
61	325	1.0	9	0.9252169132232666
62	151	1.0	13	0.433168888092041
63	500	0.75	0	1.3744189739227295
64	88	1.0	5	0.2595698833465576
65	289	1.0	5	0.822458028793335
66	127	1.0	13	0.37123990058898926
67	500	0.75	2	1.4097940921783447
68	158	1.0	3	0.4757070541381836
69	212	1.0	2	0.656301736831665
70	151	1.0	22	0.4482250213623047
71	139	1.0	0	0.4089369773864746
72	500	0.75	8	1.3807740211486816
73	500	0.75	2	1.464932918548584
74	500	0.75	10	1.3942649364471436
75	500	0.75	6	1.3956549167633057
76	255	1.0	4	0.7319259643554688
77	224	1.0	1	0.624722957611084
78	500	0.75	2	1.392915964126587
79	112	1.0	6	0.3416328430175781
80	257	1.0	2	0.8343808650970459
81	138	1.0	0	0.48605895042419434
82	95	1.0	8	0.3717527389526367
83	282	1.0	1	0.9167122840881348
84	500	0.75	5	1.530625820159912
85	71	1.0	4	0.21682214736938477
86	274	1.0	3	0.7813589572906494
87	82	1.0	9	0.25513601303100586
88	250	1.0	16	0.698479175567627
89	159	1.0	4	0.49237608909606934
90	159	1.0	11	0.46229124069213867
91	69	1.0	0	0.21288394927978516
92	500	0.75	5	1.3843469619750977
93	43	1.0	1	0.13438701629638672
94	500	0.75	1	1.3658442497253418
95	103	1.0	3	0.30814313888549805
96	191	1.0	0	0.556190013885498
97	116	1.0	18	0.3463733196258545
98	131	1.0	23	0.38260602951049805
99	500	0.75	17	1.399616003036499
