Episode	EpLen	CaptureRate	Collisions	Time(s)
0	88	1.0	10	0.45345211029052734
1	235	1.0	29	1.43259596824646
2	115	1.0	23	0.7966270446777344
3	500	0.875	23	3.035183906555176
4	205	1.0	8	1.2060561180114746
5	500	0.875	14	3.282500982284546
6	175	1.0	52	1.0119969844818115
7	500	0.75	28	3.1905629634857178
8	350	1.0	16	2.3410351276397705
9	275	1.0	14	1.9517192840576172
10	86	1.0	34	0.5495963096618652
11	283	1.0	5	1.7080819606781006
12	500	0.875	19	3.0695040225982666
13	500	0.875	15	2.6433751583099365
14	500	0.875	17	2.838836908340454
15	415	1.0	20	2.2257468700408936
16	500	0.75	9	2.7527661323547363
17	153	1.0	11	0.9922499656677246
18	122	1.0	6	0.6314518451690674
19	500	0.75	24	3.14975905418396
20	500	0.75	8	2.912075996398926
21	205	1.0	33	1.2839787006378174
22	384	1.0	8	2.1104257106781006
23	500	0.875	15	2.9820311069488525
24	224	1.0	18	1.2573692798614502
25	500	0.875	0	2.4642553329467773
26	500	0.875	26	2.9887208938598633
27	204	1.0	7	1.3495543003082275
28	89	1.0	24	0.5610129833221436
29	74	1.0	3	0.5359470844268799
30	500	0.875	8	3.4532458782196045
31	500	0.75	8	2.955526828765869
32	500	0.875	7	3.2495758533477783
33	172	1.0	17	1.058610200881958
34	500	0.75	11	3.051413059234619
35	500	0.75	31	3.274447202682495
36	164	1.0	17	1.12748122215271
37	148	1.0	13	0.962644100189209
38	121	1.0	12	0.6213681697845459
39	500	0.875	10	2.789900064468384
40	92	1.0	3	0.47557687759399414
41	500	0.875	37	2.9814209938049316
42	290	1.0	27	1.62528395652771
43	500	0.875	15	2.9391582012176514
44	398	1.0	22	2.224677085876465
45	500	0.875	14	2.5628039836883545
46	49	1.0	4	0.27544498443603516
47	500	0.875	16	2.655280828475952
48	500	0.875	34	2.7371950149536133
49	500	0.875	25	2.7342190742492676
50	126	1.0	14	0.7196199893951416
51	104	1.0	18	0.5446169376373291
52	96	1.0	15	0.6370499134063721
53	500	0.875	2	3.0080790519714355
54	212	1.0	40	1.2064478397369385
55	88	1.0	24	0.5442190170288086
56	500	0.75	31	3.1721138954162598
57	500	0.875	22	2.586940288543701
58	117	1.0	2	0.5976288318634033
59	228	1.0	16	1.2638967037200928
60	500	0.875	29	2.9973270893096924
61	290	1.0	18	1.5979719161987305
62	153	1.0	16	0.8529438972473145
63	282	1.0	7	1.5580527782440186
64	143	1.0	2	0.8573760986328125
65	500	0.875	3	2.785327196121216
66	80	1.0	12	0.4343228340148926
67	500	0.875	9	2.9866881370544434
68	457	1.0	11	2.691837787628174
69	500	0.875	8	2.766387939453125
70	500	0.75	10	2.668078899383545
71	109	1.0	8	0.6841399669647217
72	500	0.75	31	2.5272138118743896
73	316	1.0	15	1.5553553104400635
74	204	1.0	33	1.0813088417053223
75	500	0.875	11	2.5646860599517822
76	52	1.0	15	0.3311779499053955
77	500	0.875	42	2.679464101791382
78	500	0.875	13	3.2502129077911377
79	399	1.0	17	2.3705098628997803
80	132	1.0	18	0.7306220531463623
81	500	0.875	11	2.7906060218811035
82	500	0.875	32	2.864564895629883
83	63	1.0	10	0.4258720874786377
84	138	1.0	6	0.8803510665893555
85	500	0.875	23	2.732990264892578
86	123	1.0	5	0.7102339267730713
87	241	1.0	4	1.7153778076171875
88	500	0.875	23	3.1808788776397705
89	149	1.0	3	0.9058380126953125
90	208	1.0	7	1.1568670272827148
91	500	0.875	36	3.222698926925659
92	335	1.0	10	1.8900680541992188
93	226	1.0	30	1.20992112159729
94	391	1.0	26	1.9879100322723389
95	95	1.0	15	0.4857199192047119
96	500	0.875	12	2.417121648788452
97	500	0.875	34	2.6349639892578125
98	500	0.875	37	2.4306938648223877
99	500	0.875	28	2.4405558109283447
