Episode	EpLen	CaptureRate	Collisions	Time(s)
0	211	1.0	1	0.4092700481414795
1	134	1.0	0	0.2575221061706543
2	500	0.5	0	0.9114120006561279
3	500	0.5	4	0.9291930198669434
4	500	0.5	0	0.9119491577148438
5	500	0.5	2	0.9284992218017578
6	90	1.0	5	0.17580914497375488
7	57	1.0	0	0.11014699935913086
8	262	1.0	22	0.513343095779419
9	500	0.5	5	0.9322648048400879
10	122	1.0	3	0.24001789093017578
11	500	0.5	0	0.9208700656890869
12	500	0.5	1	1.0814030170440674
13	203	1.0	4	0.3907179832458496
14	147	1.0	1	0.2865626811981201
15	500	0.5	15	0.9407260417938232
16	500	0.5	0	0.9231290817260742
17	500	0.5	2	0.9480841159820557
18	500	0.5	0	0.862781286239624
19	110	1.0	6	0.21425700187683105
20	74	1.0	1	0.14563202857971191
21	45	1.0	4	0.08983182907104492
22	106	1.0	7	0.20781993865966797
23	500	0.5	0	0.9216313362121582
24	500	0.5	0	0.9305520057678223
25	98	1.0	4	0.19178295135498047
26	456	1.0	0	0.8502829074859619
27	500	0.5	0	0.9337263107299805
28	500	0.5	3	0.9192149639129639
29	500	0.5	3	0.926450252532959
30	135	1.0	0	0.25563573837280273
31	99	1.0	20	0.18595290184020996
32	46	1.0	0	0.09322500228881836
33	95	1.0	0	0.18611693382263184
34	48	1.0	0	0.09549212455749512
35	188	1.0	0	0.37366795539855957
36	128	1.0	6	0.24549198150634766
37	500	0.5	6	1.0460960865020752
38	500	0.5	0	1.005213975906372
39	500	0.5	3	0.9599509239196777
40	74	1.0	11	0.14185810089111328
41	65	1.0	0	0.1348133087158203
42	203	1.0	6	0.43448925018310547
43	500	0.5	0	0.92576003074646
44	131	1.0	0	0.2561631202697754
45	99	1.0	0	0.18825101852416992
46	77	1.0	0	0.1565408706665039
47	108	1.0	1	0.20885920524597168
48	500	0.5	1	0.9415397644042969
49	54	1.0	2	0.10389018058776855
50	304	1.0	0	0.584632158279419
51	35	1.0	0	0.06639266014099121
52	143	1.0	18	0.28974103927612305
53	351	1.0	0	0.6423170566558838
54	500	0.5	0	0.9537692070007324
55	119	1.0	0	0.2267770767211914
56	188	1.0	0	0.3455221652984619
57	116	1.0	7	0.2285621166229248
58	127	1.0	0	0.24497318267822266
59	500	0.5	0	0.9057269096374512
60	500	0.5	0	0.9567461013793945
61	125	1.0	6	0.23629379272460938
62	500	0.5	0	0.9319159984588623
63	113	1.0	1	0.22244882583618164
64	99	1.0	0	0.1839768886566162
65	79	1.0	0	0.15705394744873047
66	60	1.0	2	0.11316299438476562
67	127	1.0	0	0.2592952251434326
68	500	0.5	3	0.9426429271697998
69	114	1.0	7	0.22583723068237305
70	500	0.5	1	0.8978581428527832
71	500	0.5	0	0.9290452003479004
72	500	0.5	0	0.9226531982421875
73	500	0.5	0	0.9266760349273682
74	130	1.0	19	0.25958871841430664
75	500	0.5	7	0.9222710132598877
76	141	1.0	0	0.2747349739074707
77	74	1.0	0	0.13742804527282715
78	54	1.0	0	0.10702729225158691
79	63	1.0	0	0.16243791580200195
80	133	1.0	6	0.2605140209197998
81	500	0.5	0	0.9238808155059814
82	500	0.5	0	0.9403181076049805
83	196	1.0	2	0.39350390434265137
84	500	0.5	0	0.9487307071685791
85	156	1.0	1	0.31032896041870117
86	218	1.0	4	0.40932774543762207
87	79	1.0	4	0.15764808654785156
88	100	1.0	0	0.20159196853637695
89	500	0.5	3	0.9426181316375732
90	124	1.0	3	0.24118924140930176
91	98	1.0	0	0.19284510612487793
92	500	0.0	0	0.9805598258972168
93	197	1.0	0	0.37259411811828613
94	118	1.0	5	0.2310342788696289
95	61	1.0	0	0.1181492805480957
96	67	1.0	0	0.1330280303955078
97	111	1.0	0	0.22341394424438477
98	500	0.5	1	0.9308779239654541
99	500	0.5	3	0.9449217319488525
