Episode	EpLen	CaptureRate	Collisions	Time(s)
0	500	0.9921875	0	603.5615408420563
1	31	1.0	0	54.68938493728638
2	500	0.9921875	0	613.899982213974
3	500	0.9921875	0	602.6668930053711
4	500	0.9921875	0	591.4688420295715
5	25	1.0	0	46.89789390563965
6	33	1.0	0	58.73859167098999
7	64	1.0	0	93.10053205490112
8	500	0.9921875	0	625.2040047645569
9	500	0.9921875	0	610.7057609558105
10	500	0.9921875	0	606.5495359897614
11	500	0.9921875	0	618.9541330337524
12	500	0.96875	0	596.5323131084442
13	33	1.0	0	58.83626389503479
14	176	1.0	0	230.92324995994568
15	500	0.9921875	0	636.6946637630463
16	59	1.0	0	86.41831612586975
17	151	1.0	0	195.24473333358765
18	43	1.0	0	64.96006608009338
19	48	1.0	0	74.82748079299927
20	500	0.9921875	0	635.9751529693604
21	500	0.9921875	0	606.449147939682
22	28	1.0	0	48.499722957611084
23	500	0.9921875	0	613.4788527488708
24	500	0.9921875	0	601.8174860477448
25	500	0.9921875	0	599.969703912735
26	284	1.0	2	346.6835460662842
27	29	1.0	0	50.51493287086487
28	31	1.0	0	57.67324781417847
29	38	1.0	0	64.89301037788391
30	500	0.9921875	0	608.9453628063202
31	500	0.9921875	0	607.482684135437
32	450	1.0	0	542.4823989868164
33	500	0.984375	0	607.7355401515961
34	34	1.0	0	55.99439787864685
35	46	1.0	1	71.18802618980408
36	41	1.0	0	66.9117488861084
37	500	0.984375	0	616.0414938926697
38	33	1.0	0	51.68077111244202
39	500	0.9921875	0	609.8952980041504
40	81	1.0	0	116.22904396057129
41	98	1.0	0	131.79942202568054
42	34	1.0	0	61.046640157699585
43	500	0.9921875	0	612.7737140655518
44	500	0.9921875	0	608.4202811717987
45	500	0.984375	0	639.3148629665375
46	36	1.0	0	61.408918142318726
47	500	0.984375	0	619.1183519363403
48	500	0.984375	0	588.136177778244
49	49	1.0	0	72.69982600212097
50	500	0.9921875	0	636.5865828990936
51	124	1.0	0	164.857106924057
52	500	0.984375	0	605.8506758213043
53	29	1.0	0	56.18367099761963
54	500	0.984375	0	612.73188996315
55	30	1.0	0	48.848220109939575
56	32	1.0	0	53.71529293060303
57	62	1.0	0	88.79614067077637
58	143	1.0	0	188.18432712554932
59	500	0.9921875	0	620.4136161804199
60	48	1.0	0	76.90810298919678
61	500	0.9921875	0	618.0762922763824
62	163	1.0	0	216.1023428440094
63	500	0.984375	0	639.7194790840149
64	500	0.9921875	0	617.3269288539886
65	65	1.0	0	92.2136242389679
66	38	1.0	0	67.34276795387268
67	52	1.0	0	76.17318916320801
68	424	1.0	0	531.9065616130829
69	29	1.0	0	53.44770312309265
70	33	1.0	0	54.645620346069336
71	500	0.9921875	0	618.5266978740692
72	500	0.9921875	0	611.9613518714905
73	40	1.0	0	64.16969919204712
74	500	0.984375	0	610.9690370559692
75	500	0.9921875	0	597.3487229347229
76	247	1.0	0	318.1532018184662
77	500	0.9921875	0	625.3097989559174
78	500	0.9921875	0	612.4087989330292
79	107	1.0	0	149.12011790275574
80	500	0.984375	0	614.6233990192413
81	500	0.984375	0	599.7334561347961
82	500	0.9921875	0	585.3846189975739
83	500	0.9921875	0	606.9925801753998
84	500	0.984375	0	587.68914103508
85	31	1.0	0	54.24305725097656
86	189	1.0	0	239.40749502182007
87	500	0.9921875	0	620.9606852531433
88	500	0.9921875	0	601.4691030979156
89	500	0.984375	0	618.2582767009735
90	500	0.9921875	0	624.0083391666412
91	124	1.0	0	168.9919240474701
92	258	1.0	0	328.234493970871
93	500	0.9765625	0	591.3464481830597
94	500	0.9765625	0	633.9098448753357
95	63	1.0	0	91.16745185852051
96	39	1.0	0	62.02188205718994
97	32	1.0	0	56.691725969314575
98	50	1.0	0	82.58618307113647
99	38	1.0	0	65.0273847579956
