Episode	EpLen	EpRet	CaptureRate	Collisions	CollisionsWithObstacles	QLoss	PLoss	HaveLoss	Time(s)
94	500	-29.999999999999897	0.16	0	6	nan	nan	False	4.559
95	500	-7.250000000000151	0.38	0	7	nan	nan	False	4.094
96	500	-11.250000000000163	0.22	0	6	nan	nan	False	4.558
97	500	-9.250000000000076	0.3	0	6	nan	nan	False	4.498
98	500	-19.500000000000135	0.28	1	6	nan	nan	False	4.651
99	500	-17.000000000000156	0.32	0	5	nan	nan	False	4.551
100	500	-26.75000000000004	0.26	0	5	nan	nan	False	4.463
101	500	-5.000000000000055	0.32	0	6	nan	nan	False	4.228
102	500	-1314.2500000000107	0.3	1	7	nan	nan	False	4.558
103	500	-17.250000000000142	0.22	0	7	nan	nan	False	4.373
104	500	-6.999999999999972	0.48	0	4	nan	nan	False	4.41
105	500	-19.25000000000017	0.14	0	8	nan	nan	False	4.5
106	500	-24.750000000000007	0.1	0	8	nan	nan	False	4.365
107	500	-15.500000000000208	0.2	0	7	nan	nan	False	4.451
108	500	-23.999999999999893	0.16	0	7	nan	nan	False	4.516
109	500	-580.4999999999997	0.52	1	6	nan	nan	False	3.827
110	500	-7.500000000000167	0.28	0	6	nan	nan	False	4.538
111	500	-2.5000000000000004	0.36	0	7	nan	nan	False	4.007
112	500	-12.500000000000142	0.2	0	6	nan	nan	False	4.374
113	500	-3.499999999999983	0.44	0	7	nan	nan	False	4.352
114	500	-11.250000000000119	0.22	0	7	nan	nan	False	4.64
115	500	-20.250000000000107	0.2	0	6	nan	nan	False	4.626
116	500	-4.750000000000011	0.42	0	7	nan	nan	False	4.109
117	500	-16.75000000000015	0.18	0	8	nan	nan	False	4.309
118	500	-21.500000000000096	0.2	0	8	nan	nan	False	4.751
119	500	-13.750000000000178	0.18	0	7	nan	nan	False	4.656
120	500	-12.750000000000174	0.34	0	5	nan	nan	False	4.602
121	500	-1100.7500000000075	0.26	1	8	nan	nan	False	4.426
122	500	-320.74999999999955	0.26	1	6	nan	nan	False	4.487
123	500	-858.7500000000038	0.34	1	7	nan	nan	False	4.282
124	500	-20.75000000000007	0.26	0	6	nan	nan	False	4.584
125	500	-20.00000000000002	0.32	0	7	nan	nan	False	4.572
126	500	-7.500000000000089	0.28	0	6	nan	nan	False	4.183
127	500	-1.7500000000000488	0.42	0	5	nan	nan	False	4.059
128	500	-22.000000000000075	0.24	0	7	nan	nan	False	4.351
129	500	-12.500000000000178	0.2	0	7	nan	nan	False	4.793
130	500	-17.74999999999994	0.26	0	6	nan	nan	False	4.538
131	500	-3.7500000000001315	0.34	0	7	nan	nan	False	4.244
132	500	-5.000000000000142	0.32	0	7	nan	nan	False	4.155
133	500	-4.0	0.48	0	7	nan	nan	False	3.949
134	500	-22.499999999999766	0.28	0	6	nan	nan	False	4.227
135	500	-5.000000000000135	0.32	0	6	nan	nan	False	4.125
136	500	-38.7499999999994	0.26	0	7	nan	nan	False	4.382
137	500	-14.749999999999957	0.26	0	5	nan	nan	False	4.423
138	500	-10.000000000000112	0.24	0	8	nan	nan	False	4.57
139	500	-0.500000000000187	0.44	0	7	nan	nan	False	4.365
140	500	-6.9999999999999405	0.48	0	4	nan	nan	False	4.186
141	500	-13.00000000000014	0.24	0	7	nan	nan	False	4.248
142	500	-161.0000000000001	0.32	1	7	nan	nan	False	4.249
143	500	-2.5000000000001275	0.36	0	6	nan	nan	False	4.102
144	500	-10.000000000000213	0.24	0	6	nan	nan	False	4.453
145	500	-16.999999999999908	0.32	0	5	nan	nan	False	4.476
146	500	-11.250000000000174	0.22	0	7	nan	nan	False	4.704
147	500	-5.000000000000102	0.32	0	5	nan	nan	False	4.199
148	500	-14.750000000000167	0.26	0	5	nan	nan	False	4.447
149	500	-17.500000000000117	0.36	0	8	nan	nan	False	4.124
150	500	-20.49999999999978	0.36	0	5	nan	nan	False	4.366
151	500	-10.000000000000044	0.48	0	6	nan	nan	False	4.019
152	500	-24.74999999999978	0.34	0	7	nan	nan	False	4.306
153	500	-10.249999999999895	0.38	0	7	nan	nan	False	4.36
154	500	-1416.000000000012	0.16	1	6	nan	nan	False	4.707
155	500	-16.500000000000142	0.28	0	8	nan	nan	False	4.593
156	500	-7.250000000000072	0.38	0	5	nan	nan	False	4.408
157	500	-33.999999999999744	0.48	0	5	nan	nan	False	3.947
158	500	-26.749999999999783	0.26	0	7	nan	nan	False	4.44
159	500	-34.74999999999961	0.18	0	7	nan	nan	False	4.288
160	500	1.2500000000000324	0.42	0	6	nan	nan	False	3.941
161	500	-10.000000000000108	0.24	0	5	nan	nan	False	4.391
162	500	-3.9999999999999774	0.48	0	5	nan	nan	False	4.239
163	500	-17.250000000000135	0.22	0	7	nan	nan	False	4.704
164	500	-12.250000000000014	0.3	0	7	nan	nan	False	4.17
165	500	-7.500000000000195	0.28	0	7	nan	nan	False	4.404
166	500	-10.000000000000197	0.24	0	8	nan	nan	False	4.624
167	500	-19.499999999999897	0.28	0	6	nan	nan	False	4.416
168	500	-17.25000000000017	0.22	0	8	nan	nan	False	4.489
169	500	-5.00000000000011	0.32	0	7	nan	nan	False	4.278
170	500	-18.249999999999904	0.3	0	5	nan	nan	False	4.453
171	500	-27.749999999999783	0.34	0	5	nan	nan	False	4.26
172	500	-18.75000000000014	0.34	0	6	nan	nan	False	4.288
173	500	-12.500000000000078	0.2	0	8	nan	nan	False	4.31
174	500	7.499999999999896	0.52	0	4	nan	nan	False	3.867
175	500	-4.7500000000000835	0.42	0	7	nan	nan	False	4.33
176	500	-6.249999999999888	0.3	0	7	nan	nan	False	4.075
177	500	-9.250000000000185	0.3	0	7	nan	nan	False	4.519
178	500	-22.000000000000114	0.24	0	6	nan	nan	False	4.672
179	500	-8.50000000000014	0.36	0	6	nan	nan	False	4.185
180	500	-19.000000000000092	0.24	0	6	nan	nan	False	4.641
181	500	-17.00000000000015	0.32	0	5	nan	nan	False	4.555
182	500	-11.75000000000011	0.26	0	7	nan	nan	False	4.737
183	500	-16.49999999999995	0.28	0	7	nan	nan	False	4.405
184	500	-28.999999999999964	0.32	0	5	nan	nan	False	4.39
185	500	-25.49999999999973	0.28	0	8	nan	nan	False	4.196
186	500	-11.250000000000167	0.22	0	6	nan	nan	False	4.371
187	500	-5.5000000000001545	0.36	0	5	nan	nan	False	4.327
188	500	-3.0000000000000195	0.4	0	6	nan	nan	False	4.045
189	500	-18.749999999999854	0.34	0	7	nan	nan	False	4.377
190	500	-35.249999999999744	0.22	0	6	nan	nan	False	4.371
191	500	-24.500000000000032	0.2	0	5	nan	nan	False	4.363
192	500	-9.250000000000144	0.3	0	6	nan	nan	False	4.216
193	500	-811.4999999999982	0.28	2	8	nan	nan	False	4.203
194	500	-19.999999999999762	0.32	0	7	nan	nan	False	4.374
195	500	-2.5000000000001057	0.36	0	6	nan	nan	False	4.607
196	500	-10.999999999999988	0.32	0	8	nan	nan	False	4.588
197	500	-46.249999999999815	0.38	1	8	nan	nan	False	4.193
198	500	-29.999999999999908	0.16	0	8	nan	nan	False	4.697
199	500	-20.249999999999815	0.22	0	7	nan	nan	False	4.546
200	500	-10.250000000000098	0.38	0	7	nan	nan	False	4.16
201	500	-25.999999999999766	0.32	0	7	nan	nan	False	4.29
202	500	-16.99999999999979	0.32	0	4	nan	nan	False	4.221
203	500	-15.000000000000114	0.16	0	8	nan	nan	False	4.7
