Epoch	MAEnvIterations	TotalEnvInteracts	EpLen	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageCaptureRate	StdCaptureRate	MaxCaptureRate	MinCaptureRate	AverageCollisions	StdCollisions	MaxCollisions	MinCollisions	AverageCollideObstacles	StdCollideObstacles	MaxCollideObstacles	MinCollideObstacles	AverageVVals	StdVVals	MaxVVals	MinVVals	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time	Processes	Agents
0	500	4000	500.0	-342.61667	463.17426	-12.45	-1089.45	0.25333333	0.06896054	0.36	0.2	111.166664	153.83153	360.0	0.0	5.6666665	0.942809	7.0	4.0	0.023277609	0.017268237	0.0846311	-0.01779005	0.00080992776	54364.234	0.0	-27445.328	1.6089627	2.3295483e-09	9.77590799331665	6	8
1	1000	8000	500.0	-259.28333	550.75146	-2.45	-1490.7	0.30666667	0.06182413	0.38	0.22	84.666664	183.52173	495.0	0.0	6.5	0.95742714	8.0	5.0	-93.77669	131.34872	-0.31990588	-510.9694	0.00024083257	59052.38	0.0	-19083.822	1.6091422	1.4205773e-09	19.820408821105957	6	8
2	1500	12000	500.0	-16.033333	13.446396	-2.45	-43.7	0.28666666	0.10498677	0.42	0.08	3.0	5.4160256	15.0	0.0	6.5	1.118034	8.0	5.0	-31.64574	23.228262	-1.9038215	-117.15363	-0.00024035573	903.50275	0.0	-707.4528	1.6091	-1.5248854e-09	29.549896955490112	6	8
3	2000	16000	500.0	-19.408335	19.447268	0.05	-49.7	0.29666665	0.09480975	0.42	0.14	4.3333335	6.5489607	17.0	0.0	6.1666665	1.0671873	8.0	5.0	-12.108931	11.078957	-1.1398692	-56.186184	-0.0001313438	187.60725	0.0	-101.898415	1.6089131	1.5646219e-09	39.4703950881958	6	8
4	2500	20000	500.0	-164.53334	346.70694	-4.95	-939.7	0.32999998	0.103762545	0.48	0.16	53.5	116.05853	313.0	0.0	6.3333335	1.2472191	8.0	5.0	-8.310864	7.2789073	1.2245215	-31.580812	-0.0002109905	24868.936	0.0	-20397.414	1.6085409	1.3659397e-09	49.37322187423706	6	8
5	3000	24000	500.0	-196.40833	394.77682	-7.95	-1078.95	0.25666666	0.052174915	0.32	0.2	62.666668	132.54518	359.0	1.0	6.0	0.57735026	7.0	5.0	-16.951391	67.65876	81.0336	-446.59225	-8.442998e-05	28564.002	0.0	-21297.28	1.6082826	5.265074e-10	58.993685245513916	6	8
6	3500	28000	500.0	-233.7	491.6478	-7.95	-1332.95	0.26000002	0.046188023	0.32	0.18	75.333336	164.0017	442.0	0.0	6.8333335	0.6871843	8.0	6.0	-66.93659	140.0228	154.51355	-515.349	-0.00024169683	50624.754	0.0	-39971.645	1.607173	1.1920929e-09	68.50966620445251	6	8
7	4000	32000	500.0	-20.991667	10.581447	-6.2	-35.2	0.30333334	0.08034647	0.46	0.22	5.0	4.690416	13.0	0.0	5.3333335	1.699673	7.0	3.0	-68.62645	119.20122	310.90787	-645.0324	-0.0015697032	12252.87	0.0	-11049.238	1.6069713	7.401487e-17	77.51623630523682	6	8
8	4500	36000	500.0	-223.15833	455.5132	-6.2	-1241.45	0.27666667	0.06368325	0.36	0.16	72.0	152.98366	414.0	0.0	7.1666665	1.0671873	8.0	5.0	-10.85843	33.77352	179.73904	-164.3279	4.1872263e-05	35971.54	0.0	-31160.906	1.6059046	6.467104e-09	86.93107175827026	6	8
9	5000	40000	500.0	-13.450001	5.7500005	-4.95	-22.95	0.28	0.072111025	0.36	0.14	2.0	2.081666	6.0	0.0	6.3333335	1.2472191	8.0	4.0	-5.667926	41.505634	215.37645	-627.8198	0.00097434846	1178.1407	0.0	-1017.36163	1.6056856	1.4156102e-09	96.41606211662292	6	8
