Episode	EpLen	EpRet	CaptureRate	Collisions	CollisionsWithObstacles	QLoss	PLoss	HaveLoss	Time(s)
0	0	-27.7499999999998	0.34	0	6	nan	nan	False	5.538
1	500	-5.499999999999993	0.36	0	7	nan	nan	False	4.402
2	500	-6.250000000000144	0.3	0	6	nan	nan	False	4.46
3	500	-1.7500000000001394	0.42	0	6	nan	nan	False	4.304
4	500	-12.25000000000013	0.3	0	8	nan	nan	False	4.464
5	500	-25.999999999999808	0.32	0	5	nan	nan	False	4.469
6	500	-10.000000000000195	0.24	0	8	nan	nan	False	4.461
7	500	-2.5000000000001354	0.36	0	6	nan	nan	False	4.334
8	500	-906.2500000000044	0.06	1	7	nan	nan	False	4.724
9	500	-24.7499999999998	0.34	0	5	nan	nan	False	4.348
10	500	-11.49999999999999	0.36	0	6	nan	nan	False	4.451
11	500	-24.500000000000092	0.2	0	6	nan	nan	False	4.601
12	500	-1330.500000000011	0.28	1	6	nan	nan	False	4.875
13	500	-10.000000000000137	0.24	0	7	nan	nan	False	4.55
14	500	1.249999999999841	0.42	0	5	nan	nan	False	4.649
15	500	-39.499999999999794	0.44	0	2	nan	nan	False	4.407
16	500	-49.75000000000058	0.18	0	6	nan	nan	False	4.769
17	500	-13.750000000000155	0.18	0	7	nan	nan	False	4.713
18	500	-434.749999999999	0.5	1	6	nan	nan	False	4.226
19	500	-21.500000000000085	0.2	0	7	nan	nan	False	4.555
20	500	-3.7500000000001723	0.34	0	7	nan	nan	False	4.42
21	500	-10.000000000000208	0.24	0	7	nan	nan	False	4.508
22	500	-24.000000000000142	0.16	0	5	nan	nan	False	4.688
23	500	-25.99999999999982	0.32	0	5	nan	nan	False	4.498
24	500	-15.250000000000144	0.3	0	7	nan	nan	False	4.626
25	500	2.499999999999924	0.44	0	6	nan	nan	False	4.283
26	500	-11.499999999999883	0.36	0	6	nan	nan	False	4.406
27	500	-16.000000000000085	0.24	0	8	nan	nan	False	4.478
28	500	-4.999999999999999	0.32	0	7	nan	nan	False	4.385
29	500	-378.24999999999915	0.3	1	5	nan	nan	False	4.479
30	500	-3.750000000000073	0.34	0	6	nan	nan	False	4.647
31	500	-16.000000000000057	0.24	0	6	nan	nan	False	4.518
32	500	-7.500000000000121	0.28	0	5	nan	nan	False	4.506
33	500	-12.75000000000013	0.34	0	7	nan	nan	False	4.316
34	500	-7.500000000000172	0.28	0	6	nan	nan	False	4.519
35	500	-16.249999999999925	0.38	0	6	nan	nan	False	4.3
36	500	-38.000000000000156	0.32	0	5	nan	nan	False	4.441
37	500	-205.49999999999983	0.28	1	8	nan	nan	False	4.423
38	500	-16.750000000000203	0.18	0	8	nan	nan	False	4.653
39	500	-892.5000000000043	0.28	1	6	nan	nan	False	4.52
40	500	-19.75000000000013	0.18	0	8	nan	nan	False	4.596
41	500	-4.0000000000000515	0.48	0	5	nan	nan	False	4.342
42	500	-18.750000000000156	0.1	0	7	nan	nan	False	4.734
43	500	-21.5000000000001	0.2	0	8	nan	nan	False	4.627
44	500	-18.25000000000009	0.3	0	6	nan	nan	False	4.81
45	500	-5.0000000000001315	0.32	0	6	nan	nan	False	4.434
46	500	-13.00000000000017	0.24	0	8	nan	nan	False	5.238
47	500	-15.749999999999998	0.32	0	6	nan	nan	False	5.044
48	500	-16.25000000000015	0.14	0	7	nan	nan	False	4.679
49	500	-1080.500000000007	0.2	1	7	nan	nan	False	4.649
50	500	-10.000000000000117	0.24	0	6	nan	nan	False	5.107
51	500	-19.000000000000103	0.24	0	7	nan	nan	False	4.511
52	500	-15.249999999999995	0.3	0	5	nan	nan	False	4.63
53	500	-14.000000000000052	0.32	0	5	nan	nan	False	4.418
54	500	-13.750000000000178	0.18	0	7	nan	nan	False	4.561
55	500	-5.500000000000119	0.36	0	6	nan	nan	False	4.435
56	500	-11.25000000000017	0.22	0	6	nan	nan	False	4.579
57	500	-18.99999999999983	0.24	0	6	nan	nan	False	4.512
58	500	-23.75000000000002	0.26	0	6	nan	nan	False	4.49
59	500	-6.750000000000043	0.34	0	7	nan	nan	False	4.415
60	500	-10.000000000000204	0.24	0	7	nan	nan	False	4.546
61	500	-10.000000000000101	0.24	0	6	nan	nan	False	4.611
62	500	-34.9999999999999	0.32	0	6	nan	nan	False	4.41
63	500	-10.000000000000174	0.24	0	6	nan	nan	False	4.648
64	500	-13.500000000000092	0.28	0	6	nan	nan	False	4.575
65	500	-3.7500000000001386	0.34	0	8	nan	nan	False	4.369
66	500	-17.75000000000012	0.26	0	5	nan	nan	False	4.571
67	500	-8.000000000000139	0.32	0	5	nan	nan	False	4.496
68	500	-13.000000000000206	0.24	0	7	nan	nan	False	4.585
69	500	-21.7499999999999	0.34	0	5	nan	nan	False	4.433
70	500	-13.750000000000144	0.18	0	8	nan	nan	False	4.671
71	500	1.250000000000019	0.42	0	6	nan	nan	False	4.312
72	500	-16.24999999999989	0.38	0	4	nan	nan	False	4.409
73	500	-27.00000000000008	0.16	0	8	nan	nan	False	4.648
74	500	-15.25000000000002	0.3	0	5	nan	nan	False	4.531
75	500	-10.74999999999993	0.42	0	7	nan	nan	False	4.364
76	500	-9.749999999999922	0.34	0	5	nan	nan	False	4.443
77	500	-8.500000000000131	0.36	0	5	nan	nan	False	4.397
78	500	-23.499999999999783	0.34	0	5	nan	nan	False	4.478
79	500	-34.49999999999978	0.28	0	8	nan	nan	False	4.597
80	500	-32.24999999999979	0.46	0	3	nan	nan	False	4.276
81	500	-34.4999999999996	0.28	0	5	nan	nan	False	4.559
82	500	-10.999999999999961	0.32	0	6	nan	nan	False	5.143
83	500	-10.000000000000188	0.24	0	7	nan	nan	False	4.767
84	500	-13.999999999999922	0.32	0	7	nan	nan	False	4.504
85	500	-23.499999999999794	0.36	0	6	nan	nan	False	4.473
86	500	-16.25000000000017	0.14	0	8	nan	nan	False	4.606
87	500	-441.2499999999991	0.3	1	8	nan	nan	False	4.611
88	500	-37.99999999999977	0.32	0	5	nan	nan	False	4.596
89	500	-12.250000000000195	0.3	0	6	nan	nan	False	4.372
90	500	-8.750000000000197	0.26	0	7	nan	nan	False	4.464
91	500	-300.4999999999997	0.2	1	7	nan	nan	False	5.166
92	500	-6.250000000000165	0.3	0	6	nan	nan	False	4.493
93	500	-1464.7500000000127	0.34	1	7	nan	nan	False	4.398
94	500	-17.750000000000114	0.26	0	6	nan	nan	False	4.857
