Episode	EpLen	EpRet	CaptureRate	Collisions	CollisionsWithObstacles	QLoss	PLoss	HaveLoss	Time(s)
0	0	-19.00000000000009	0.24	0	5	nan	nan	False	4.354
1	500	-6.250000000000169	0.3	0	7	nan	nan	False	3.255
2	500	3.7499999999999867	0.46	0	7	nan	nan	False	3.089
3	500	-10.500000000000064	0.28	0	6	nan	nan	False	3.387
4	500	-11.500000000000151	0.36	0	6	nan	nan	False	3.147
5	500	-9.25000000000012	0.3	0	5	nan	nan	False	3.296
6	500	2.4999999999998685	0.44	0	6	nan	nan	False	3.158
7	500	-8.750000000000112	0.26	0	7	nan	nan	False	3.283
8	500	-14.000000000000156	0.32	0	5	nan	nan	False	3.273
9	500	-33.99999999999967	0.48	0	6	nan	nan	False	3.036
10	500	-7.500000000000094	0.28	0	6	nan	nan	False	3.281
11	500	-10.00000000000018	0.24	0	7	nan	nan	False	3.395
12	500	1.250000000000028	0.42	0	5	nan	nan	False	3.172
13	500	-45.49999999999982	0.2	0	6	nan	nan	False	3.411
14	500	1.249999999999897	0.42	0	6	nan	nan	False	3.164
15	500	-11.250000000000174	0.22	0	7	nan	nan	False	3.541
16	500	-24.99999999999978	0.24	0	5	nan	nan	False	3.363
17	500	-13.75000000000013	0.18	0	7	nan	nan	False	3.423
18	500	-17.500000000000114	0.12	0	8	nan	nan	False	3.452
19	500	-11.250000000000178	0.22	0	7	nan	nan	False	3.391
20	500	-6.750000000000185	0.34	0	6	nan	nan	False	3.265
21	500	-10.250000000000092	0.38	0	7	nan	nan	False	3.356
22	500	-24.249999999999872	0.3	0	5	nan	nan	False	3.29
23	500	-577.9999999999995	0.32	1	7	nan	nan	False	3.245
24	500	-27.0	0.16	0	5	nan	nan	False	3.469
25	500	-23.74999999999975	0.26	0	6	nan	nan	False	3.379
26	500	-10.999999999999869	0.32	0	6	nan	nan	False	3.213
27	500	-1434.7500000000123	0.1	1	8	nan	nan	False	3.461
28	500	-17.25000000000001	0.22	0	6	nan	nan	False	3.359
29	500	-17.250000000000018	0.22	0	7	nan	nan	False	3.377
30	500	-11.250000000000185	0.22	0	7	nan	nan	False	3.31
31	500	-10.499999999999888	0.52	0	6	nan	nan	False	3.048
32	500	-18.999999999999822	0.24	0	7	nan	nan	False	3.358
33	500	-3.750000000000114	0.34	0	7	nan	nan	False	3.237
34	500	-17.749999999999957	0.26	0	7	nan	nan	False	3.277
35	500	-18.5000000000001	0.2	0	7	nan	nan	False	3.364
36	500	-47.00000000000019	0.32	0	6	nan	nan	False	3.303
37	500	-8.75000000000015	0.26	0	6	nan	nan	False	3.361
38	500	-978.7500000000057	0.34	1	7	nan	nan	False	3.249
39	500	-27.49999999999981	0.2	0	6	nan	nan	False	3.489
40	500	-36.24999999999949	0.3	0	5	nan	nan	False	3.303
41	500	-15.250000000000062	0.3	0	8	nan	nan	False	3.226
42	500	-858.0000000000039	0.16	1	8	nan	nan	False	3.412
43	500	-744.5000000000019	0.2	1	8	nan	nan	False	3.359
44	500	-1226.7500000000095	0.26	1	7	nan	nan	False	3.328
45	500	-8.000000000000117	0.32	0	7	nan	nan	False	3.371
46	500	-10.750000000000004	0.42	0	6	nan	nan	False	3.073
47	500	-16.000000000000156	0.24	0	6	nan	nan	False	3.418
48	500	-14.750000000000007	0.26	0	5	nan	nan	False	3.32
49	500	-577.9999999999995	0.32	1	7	nan	nan	False	3.221
50	500	-29.99999999999965	0.16	0	5	nan	nan	False	3.501
51	500	-25.750000000000085	0.18	0	8	nan	nan	False	3.422
52	500	-4.25000000000022	0.38	0	7	nan	nan	False	3.163
53	500	-10.499999999999972	0.28	0	7	nan	nan	False	3.303
54	500	-31.0	0.24	0	6	nan	nan	False	3.415
55	500	-11.25000000000015	0.22	0	7	nan	nan	False	3.316
56	500	-13.999999999999956	0.32	0	7	nan	nan	False	3.204
57	500	-8.999999999999975	0.4	0	6	nan	nan	False	3.222
58	500	-13.00000000000021	0.24	0	7	nan	nan	False	3.283
59	500	-16.7500000000002	0.18	0	6	nan	nan	False	3.464
60	500	-11.750000000000117	0.26	0	6	nan	nan	False	3.315
61	500	-127.49999999999997	0.28	1	5	nan	nan	False	3.284
62	500	-8.750000000000089	0.26	0	7	nan	nan	False	3.442
63	500	-6.7500000000000675	0.34	0	7	nan	nan	False	3.246
64	500	-7.7500000000000515	0.42	0	5	nan	nan	False	3.077
65	500	-17.00000000000007	0.32	0	5	nan	nan	False	3.291
66	500	-7.250000000000016	0.38	0	6	nan	nan	False	3.269
67	500	-19.49999999999995	0.28	0	6	nan	nan	False	3.345
68	500	-3.250000000000078	0.52	0	6	nan	nan	False	3.2
69	500	-26.75000000000003	0.26	0	7	nan	nan	False	3.346
70	500	-2.5000000000001084	0.36	0	7	nan	nan	False	3.266
71	500	-14.499999999999998	0.36	0	5	nan	nan	False	3.26
72	500	-5.000000000000156	0.32	0	6	nan	nan	False	3.263
73	500	-11.000000000000167	0.32	0	7	nan	nan	False	3.257
74	500	-11.999999999999925	0.4	0	6	nan	nan	False	3.225
75	500	-15.000000000000146	0.4	0	6	nan	nan	False	3.226
76	500	-12.500000000000151	0.2	0	7	nan	nan	False	3.396
77	500	-12.500000000000128	0.2	0	7	nan	nan	False	3.39
78	500	-22.500000000000064	0.28	0	6	nan	nan	False	3.36
79	500	-8.750000000000089	0.26	0	7	nan	nan	False	3.342
80	500	-17.250000000000156	0.22	0	6	nan	nan	False	3.404
81	500	-15.000000000000153	0.16	0	7	nan	nan	False	3.418
82	500	-13.750000000000181	0.18	0	8	nan	nan	False	3.392
83	500	-9.250000000000082	0.3	0	7	nan	nan	False	3.295
84	500	-13.750000000000137	0.18	0	7	nan	nan	False	3.425
85	500	-12.749999999999906	0.34	0	7	nan	nan	False	3.127
86	500	-9.250000000000176	0.3	0	6	nan	nan	False	3.31
87	500	-10.499999999999869	0.52	0	3	nan	nan	False	3.052
88	500	-12.50000000000015	0.2	0	7	nan	nan	False	3.35
89	500	-8.750000000000128	0.26	0	8	nan	nan	False	3.323
90	500	-6.250000000000201	0.3	0	7	nan	nan	False	3.22
91	500	-26.999999999999982	0.4	0	5	nan	nan	False	3.119
92	500	-13.249999999999975	0.38	0	4	nan	nan	False	3.361
93	500	-9.750000000000142	0.34	0	6	nan	nan	False	3.213
94	500	-519.9999999999986	0.24	1	7	nan	nan	False	3.336
95	500	-872.7500000000038	0.26	1	7	nan	nan	False	3.343
96	500	-5.500000000000145	0.36	0	5	nan	nan	False	3.299
97	500	-9.750000000000203	0.34	0	5	nan	nan	False	3.29
98	500	-23.24999999999995	0.22	0	7	nan	nan	False	3.477
99	500	-12.750000000000025	0.34	0	5	nan	nan	False	3.289
100	500	-965.000000000005	0.32	1	8	nan	nan	False	3.18
101	500	-18.500000000000107	0.44	0	6	nan	nan	False	3.164
102	500	-3.7500000000000697	0.34	0	8	nan	nan	False	3.222
103	500	-16.250000000000174	0.14	0	8	nan	nan	False	3.422
104	500	-13.000000000000123	0.24	0	6	nan	nan	False	3.45
105	500	-11.750000000000163	0.26	0	7	nan	nan	False	3.394
106	500	-3.7500000000000924	0.34	0	7	nan	nan	False	3.265
107	500	-8.000000000000188	0.32	0	7	nan	nan	False	3.231
108	500	-33.24999999999997	0.3	0	7	nan	nan	False	3.245
109	500	-778.2500000000024	0.38	1	6	nan	nan	False	3.152
110	500	-13.000000000000185	0.24	0	8	nan	nan	False	3.335
111	500	-9.250000000000114	0.3	0	6	nan	nan	False	3.353
112	500	-20.500000000000036	0.36	0	5	nan	nan	False	3.219
113	500	-21.5000000000001	0.2	0	7	nan	nan	False	3.349
114	500	-12.50000000000017	0.2	0	6	nan	nan	False	3.431
115	500	-13.750000000000195	0.18	0	8	nan	nan	False	3.393
116	500	-12.500000000000213	0.2	0	7	nan	nan	False	3.374
117	500	-14.00000000000003	0.32	0	5	nan	nan	False	3.26
118	500	-13.00000000000016	0.24	0	5	nan	nan	False	3.412
119	500	-11.999999999999634	0.4	0	5	nan	nan	False	3.247
120	500	-21.000000000000238	0.16	0	7	nan	nan	False	3.439
