Epoch	MAEnvIterations	TotalEnvInteracts	EpLen	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageCaptureRate	StdCaptureRate	MaxCaptureRate	MinCaptureRate	AverageCollisions	StdCollisions	MaxCollisions	MinCollisions	AverageCollideObstacles	StdCollideObstacles	MaxCollideObstacles	MinCollideObstacles	AverageVVals	StdVVals	MaxVVals	MinVVals	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time	Processes	Agents
0	500	4000	500.0	-10.325001	12.837729	8.3	-30.2	0.32999998	0.16842405	0.58	0.06	2.0	1.6329932	5.0	0.0	6.1666665	0.89752746	8.0	5.0	0.018409647	0.017501486	0.08002679	-0.016977943	-9.57648e-06	41.6618	0.0	-22.213846	1.6077265	8.508563e-09	12.797364950180054	6	8
1	1000	8000	500.0	-68.86667	115.577415	-7.45	-326.7	0.23333333	0.05962848	0.3	0.12	19.666666	39.186165	107.0	0.0	7.1666665	0.6871842	8.0	6.0	-2.2800672	3.2929637	19.535927	-12.990237	-9.1920294e-05	4631.679	0.0	-2402.8032	1.6074558	3.3577283e-09	25.73898148536682	6	8
2	1500	12000	500.0	-11.408333	11.656916	3.3	-30.95	0.33666667	0.12775846	0.5	0.2	2.5	2.362908	7.0	0.0	5.6666665	0.74535596	7.0	5.0	-12.822555	30.31587	18.970499	-219.46071	0.00092672557	768.68207	0.0	-679.8137	1.6075214	-7.535021e-09	38.04753112792969	6	8
3	2000	16000	500.0	-250.53333	415.89108	-8.7	-1160.95	0.24666667	0.08919392	0.38	0.14	80.666664	138.38794	383.0	0.0	7.0	0.57735026	8.0	6.0	-4.6768036	5.9848638	4.822813	-49.296284	-0.00038815537	35900.3	0.0	-22080.533	1.6072963	-1.0877849e-09	50.463707447052	6	8
4	2500	20000	500.0	-10.158334	6.092032	-2.95	-18.2	0.35666668	0.09049247	0.44	0.18	2.5	1.6072751	5.0	1.0	6.8333335	0.6871843	8.0	6.0	-51.124554	94.95001	53.2407	-390.9862	-0.00047927102	7189.5137	0.0	-6437.004	1.606842	-9.929141e-09	63.05257487297058	6	8
5	3000	24000	500.0	-228.075	478.18723	-3.7	-1297.2	0.30999997	0.070945986	0.38	0.18	74.333336	160.43344	433.0	0.0	6.6666665	0.47140452	7.0	6.0	-9.9283085	26.071716	41.357708	-122.79039	-0.0021470736	38502.863	0.0	-16221.046	1.6065226	-1.1970599e-09	75.72099184989929	6	8
6	3500	28000	500.0	-256.24167	535.8413	0.3	-1454.2	0.28333333	0.10546195	0.5	0.16	83.166664	178.38014	482.0	0.0	6.5	1.2583058	8.0	5.0	-84.21169	127.7713	81.09296	-355.76978	6.645918e-05	52865.402	0.0	-40458.99	1.6055675	7.167459e-09	88.43340063095093	6	8
7	4000	32000	500.0	-172.74168	353.85202	-6.95	-963.7	0.36333334	0.0795124	0.48	0.26	57.0	118.12423	321.0	0.0	5.6666665	1.1055416	7.0	4.0	-53.70422	92.42606	106.89126	-515.9955	-0.0017902007	28109.125	0.0	-23668.443	1.605431	-4.9322844e-09	100.99948000907898	6	8
8	4500	36000	500.0	-26.574999	28.00623	-11.45	-88.7	0.35	0.083864965	0.44	0.18	8.0	8.124039	26.0	3.0	5.5	1.5	8.0	3.0	-35.189644	47.65493	126.99922	-478.74103	-0.0015071159	2712.553	0.0	-2314.0247	1.6043993	3.228585e-10	113.74174189567566	6	8
9	5000	40000	500.0	-13.741668	7.557305	-3.45	-25.7	0.40333334	0.107960895	0.56	0.22	4.6666665	3.197221	9.0	1.0	4.8333335	1.462494	6.0	2.0	-19.58199	41.716187	168.43268	-322.422	-0.0029217303	1382.9266	0.0	-1219.4849	1.6037312	1.5447537e-09	126.45392155647278	6	8
10	5500	44000	500.0	-378.69998	526.2816	-3.7	-1240.45	0.3	0.023094011	0.34	0.28	124.5	175.59874	412.0	0.0	6.3333335	0.942809	8.0	5.0	-8.487631	24.123894	59.52718	-111.97447	0.001291126	58541.207	0.0	-49803.277	1.6004419	-2.284845e-10	139.13153624534607	6	8
11	6000	48000	500.0	-21.866667	16.283087	-6.45	-55.45	0.31333333	0.0718022	0.44	0.2	5.5	4.7871356	16.0	2.0	5.8333335	0.6871842	7.0	5.0	-34.995827	69.573685	145.61021	-506.7861	-0.0009683383	4398.207	0.0	-3877.1602	1.6018949	9.208918e-09	151.90330743789673	6	8
12	6500	52000	500.0	-14.241668	7.6422853	-4.2	-25.95	0.32333335	0.08900686	0.44	0.18	3.1666667	2.034426	7.0	1.0	5.8333335	0.6871842	7.0	5.0	-10.914216	34.630898	178.0132	-504.66876	-0.00018592675	943.72516	0.0	-804.58844	1.6000582	-6.7998975e-09	164.73679304122925	6	8
13	7000	56000	500.0	-244.90833	475.75916	-13.7	-1308.2	0.33666667	0.039015662	0.42	0.3	80.666664	158.54407	435.0	4.0	5.3333335	0.942809	7.0	4.0	-15.35657	35.889263	114.756905	-188.94186	0.00023579597	31263.74	0.0	-23930.172	1.6008921	4.2070942e-09	177.58073925971985	6	8
14	7500	60000	500.0	-13.950001	8.502451	-6.2	-29.7	0.32	0.08164965	0.44	0.22	3.0	2.236068	7.0	0.0	5.8333335	0.6871842	7.0	5.0	-60.524426	116.41155	258.54056	-843.87494	-0.001617988	11498.024	0.0	-10261.825	1.598931	7.813175e-09	190.4066150188446	6	8
15	8000	64000	500.0	-21.658335	8.1769705	-10.45	-35.45	0.31666663	0.08117197	0.42	0.22	5.5	3.86221	11.0	1.0	5.8333335	1.6749792	8.0	4.0	-17.119013	49.077644	223.16434	-369.33957	-0.0017041713	1913.0084	0.0	-1728.4185	1.5978308	-1.3063354e-09	203.1777446269989	6	8
16	8500	68000	500.0	-13.450001	13.042399	0.05	-40.7	0.35999998	0.062182523	0.44	0.28	3.8333333	5.398045	15.0	0.0	5.3333335	1.2472191	7.0	3.0	-3.6356332	24.619663	96.727264	-381.3296	-0.00059953827	908.6369	0.0	-666.4635	1.5973668	-6.631017e-09	215.98285031318665	6	8
17	9000	72000	500.0	-11.075001	7.78721	2.8	-20.2	0.39000002	0.123693176	0.54	0.22	3.6666667	2.9814239	9.0	0.0	5.1666665	0.89752746	6.0	4.0	-8.442626	22.81362	117.8612	-132.66162	-0.0030091628	444.26395	0.0	-380.93298	1.5968523	1.043578e-08	228.5652117729187	6	8
18	9500	76000	500.0	-19.616667	13.475801	0.8	-41.2	0.37333333	0.08993826	0.46	0.24	6.0	5.0	15.0	1.0	5.3333335	1.2472191	7.0	3.0	-3.8115063	20.099825	97.18934	-210.36867	-0.001043362	374.10095	0.0	-305.25784	1.5973115	4.440546e-09	241.2718620300293	6	8
